cell_name,protein,protein_name,primekg_index,cell_id,ncbi_id
A375,0,DPF3,3110,0,8110
A375,1,ZNF706,3620,0,51123
A375,7,KLRC1,7053,0,3821
A375,11,HSP90B1,3996,0,7184
A375,12,CKS1B,1074,0,1163
A375,16,SLIRP,8928,0,81892
A375,21,EIF3M,6251,0,10480
A375,24,NHLRC2,35397,0,374354
A375,28,RPS21,4967,0,6227
A375,31,PTGDS,7773,0,5730
A375,36,NF1,5794,0,4763
A375,42,CAPG,10430,0,822
A375,43,KPNA6,2683,0,23633
A375,50,FXYD6,4474,0,53826
A375,54,HSCB,7388,0,150274
A375,55,NOTUM,57058,0,147111
A375,60,CACNG6,59524,0,59285
A375,62,FLNA,3035,0,2316
A375,63,WDR33,10088,0,55339
A375,72,NUMA1,3677,0,4926
A375,73,PCM1,1893,0,5108
A375,76,TMX4,5475,0,56255
A375,77,PLA2G6,1124,0,8398
A375,79,FBXO4,10883,0,26272
A375,80,DIS3,260,0,22894
A375,81,U2SURP,9520,0,23350
A375,85,PABPN1,9161,0,8106
A375,88,CATSPERB,60672,0,79820
A375,89,PKDREJ,7776,0,10343
A375,93,WDR83,4775,0,84292
A375,94,CASR,574,0,846
A375,96,PSMD1,4126,0,5707
A375,97,RIOK3,10922,0,8780
A375,98,DNAJC8,9622,0,22826
A375,106,TAPBP,11910,0,6892
A375,107,IDH3A,3185,0,3419
A375,109,FMNL3,13352,0,91010
A375,117,LILRB4,11982,0,11006
A375,122,RRP1,2420,0,8568
A375,123,GADD45G,5237,0,10912
A375,128,MSL1,57345,0,339287
A375,129,PDAP1,13007,0,11333
A375,131,GRIA2,1246,0,2891
A375,134,LSM11,12423,0,134353
A375,138,COMP,9967,0,1311
A375,139,MRPL18,613,0,29074
A375,143,SLC25A31,7406,0,83447
A375,144,SSR1,3358,0,6745
A375,145,SHC2,5154,0,25759
A375,146,WBP11,3629,0,51729
A375,147,BTF3,7531,0,689
A375,148,NDUFA6,1077,0,4700
A375,149,RIN1,5658,0,9610
A375,150,AGA,3321,0,175
A375,153,BUB1B,1648,0,701
A375,154,WASF2,3028,0,10163
A375,156,NAPA,7246,0,8775
A375,168,VIM,1625,0,7431
A375,169,SIK1,13531,0,150094
A375,171,GMNN,1974,0,51053
A375,175,EIF5,8496,0,1983
A375,176,RBM14,1791,0,10432
A375,186,CPSF6,6758,0,11052
A375,187,MND1,10708,0,84057
A375,193,ACTC1,1666,0,70
A375,198,CCNB3,34446,0,85417
A375,202,EIF2S3,12020,0,1968
A375,208,ALPL,11130,0,249
A375,211,LAMC2,9184,0,3918
A375,213,CPSF7,9230,0,79869
A375,216,THY1,3096,0,7070
A375,218,PNPLA2,12917,0,57104
A375,221,PFDN2,4442,0,5202
A375,224,LTBR,4074,0,4055
A375,226,HTR1E,3447,0,3354
A375,227,GLDC,11270,0,2731
A375,228,MRRF,5127,0,92399
A375,230,GAPDH,527,0,2597
A375,231,MRPL2,3824,0,51069
A375,232,VPS36,7131,0,51028
A375,233,VAT1,8655,0,10493
A375,234,CSTF3,5736,0,1479
A375,237,NKAIN1,34041,0,79570
A375,242,TNNI3,8821,0,7137
A375,244,SRGAP3,2203,0,9901
A375,245,DDX56,9421,0,54606
A375,248,EFNB2,961,0,1948
A375,249,HNRNPU,1643,0,3192
A375,252,BUD31,5288,0,8896
A375,253,PIAS4,4235,0,51588
A375,254,RIOK2,13023,0,55781
A375,255,RNASE2,13303,0,6036
A375,257,COG8,10867,0,84342
A375,266,BLOC1S3,33853,0,388552
A375,267,COX20,10739,0,116228
A375,268,LSM2,5323,0,57819
A375,270,SOD1,361,0,6647
A375,276,SH3PXD2B,22011,0,285590
A375,277,LINGO1,5355,0,84894
A375,279,HMGCLL1,4247,0,54511
A375,280,PREX1,13186,0,57580
A375,281,F2R,3489,0,2149
A375,283,INO80D,8107,0,54891
A375,284,SOS2,7249,0,6655
A375,288,GAA,2465,0,2548
A375,295,ARHGEF4,12008,0,50649
A375,297,PES1,1577,0,23481
A375,298,DDX41,3130,0,51428
A375,301,GADL1,34365,0,339896
A375,302,DYNLRB1,10224,0,83658
A375,308,BLM,4288,0,641
A375,310,GSTM1,5176,0,2944
A375,313,ARHGEF10L,34420,0,55160
A375,316,DPP7,1597,0,29952
A375,320,KHSRP,6670,0,8570
A375,327,PIP5K1B,8119,0,8395
A375,329,SCP2,5326,0,6342
A375,330,MLNR,7304,0,2862
A375,338,KLHL31,60281,0,401265
A375,339,SCN2A,9441,0,6326
A375,340,BNIPL,10483,0,149428
A375,341,MICU1,3553,0,10367
A375,345,GSTA3,59318,0,2940
A375,347,RARA,740,0,5914
A375,348,NDUFV1,2938,0,4723
A375,355,TIMM8A,7814,0,1678
A375,360,TIPRL,57262,0,261726
A375,362,TTC31,9407,0,64427
A375,363,TCTN2,2205,0,79867
A375,364,ATP2A2,7123,0,488
A375,366,MRPL44,7867,0,65080
A375,369,RTKN,8280,0,6242
A375,374,GSTA1,5215,0,2938
A375,377,RAN,580,0,5901
A375,379,GSTO1,9200,0,9446
A375,382,NAA38,7079,0,84316
A375,388,HLA-DPB1,8432,0,3115
A375,390,DNAJB13,35200,0,374407
A375,393,MRPS31,1141,0,10240
A375,396,YEATS2,3585,0,55689
A375,397,TLK2,7912,0,11011
A375,398,SIRT7,12619,0,51547
A375,399,RAC2,5465,0,5880
A375,400,PSMD2,175,0,5708
A375,402,FMNL2,11576,0,114793
A375,403,EIF3E,1778,0,3646
A375,406,SRC,1170,0,6714
A375,408,EIF5A,6297,0,1984
A375,409,C1QB,2507,0,713
A375,411,PCGF6,12991,0,84108
A375,413,DDIT4L,899,0,115265
A375,421,SNRPF,234,0,6636
A375,422,LIMD1,6025,0,8994
A375,426,RRP1B,9669,0,23076
A375,429,CCT4,2441,0,10575
A375,430,PDIA6,3551,0,10130
A375,434,MPHOSPH10,11615,0,10199
A375,440,ARHGDIB,5936,0,397
A375,446,CDON,8605,0,50937
A375,453,NOP16,9881,0,51491
A375,461,TRIM22,3998,0,10346
A375,462,ARHGEF40,11847,0,55701
A375,463,RAB7A,3128,0,7879
A375,464,PDHA1,2448,0,5160
A375,466,RRS1,2962,0,23212
A375,467,NAA50,10589,0,80218
A375,469,MKNK2,4052,0,2872
A375,472,ASMT,33900,0,438
A375,473,LGMN,7834,0,5641
A375,474,GPR4,58777,0,2828
A375,477,FABP1,11706,0,2168
A375,479,MRPS21,5449,0,54460
A375,480,LMNA,163,0,4000
A375,483,IMMT,1916,0,10989
A375,484,HCCS,727,0,3052
A375,485,TOMM22,6932,0,56993
A375,486,CFLAR,6883,0,8837
A375,487,COG3,9602,0,83548
A375,488,PLEC,880,0,5339
A375,497,EIF6,8005,0,3692
A375,499,ZNF860,9406,0,344787
A375,505,LTA4H,9075,0,4048
A375,508,EEF1A1,2215,0,1915
A375,511,ELOVL6,12333,0,79071
A375,513,NDUFA7,2280,0,4701
A375,515,NEURL1B,56642,0,54492
A375,521,BOP1,10052,0,23246
A375,522,EEF2,1164,0,1938
A375,525,PRCC,7897,0,5546
A375,526,SRP9,4743,0,6726
A375,527,ZNF543,7821,0,125919
A375,528,PDE1B,907,0,5153
A375,532,PLCB1,11800,0,23236
A375,533,AZU1,1071,0,566
A375,535,DDX10,5257,0,1662
A375,536,HLA-DQA2,13169,0,3118
A375,539,LRSAM1,10967,0,90678
A375,544,SLU7,820,0,10569
A375,547,CNKSR1,7204,0,10256
A375,549,ACTR5,930,0,79913
A375,551,PGK1,5281,0,5230
A375,558,EIF2A,10463,0,83939
A375,565,CYB5R3,758,0,1727
A375,570,VDAC1,1534,0,7416
A375,572,COX19,56862,0,90639
A375,574,NDUFB9,2794,0,4715
A375,575,BSG,90,0,682
A375,579,HSPA12A,13987,0,259217
A375,586,RPP40,895,0,10799
A375,595,ACTG1,2169,0,71
A375,600,SSR4,6846,0,6748
A375,602,ALCAM,9235,0,214
A375,605,PRDX1,1783,0,5052
A375,606,PPP1R42,58661,0,286187
A375,608,SH3PXD2A,11677,0,9644
A375,611,CHCHD2,9036,0,51142
A375,612,RPL21,2572,0,6144
A375,616,TAF9,1063,0,6880
A375,619,GPX6,34578,0,257202
A375,621,NOP2,4245,0,4839
A375,622,BRD8,5542,0,10902
A375,624,NHLRC3,59328,0,387921
A375,629,ARHGEF37,58580,0,389337
A375,636,SPI1,174,0,6688
A375,637,SF3B2,3034,0,10992
A375,638,PSMD7,2608,0,5713
A375,641,E2F8,12336,0,79733
A375,644,URM1,10961,0,81605
A375,645,SLC16A3,7870,0,9123
A375,650,TRMT112,7247,0,51504
A375,651,MRPL11,2299,0,65003
A375,652,IDNK,57919,0,414328
A375,659,RNASET2,7535,0,8635
A375,661,HTR2B,1044,0,3357
A375,663,EPAS1,2083,0,2034
A375,665,TAPBPL,11784,0,55080
A375,666,CXCL2,6836,0,2920
A375,671,TMEM70,8819,0,54968
A375,673,SKIV2L,4844,0,6499
A375,674,SPCS3,12965,0,60559
A375,676,SKA3,2901,0,221150
A375,680,CHCHD6,11203,0,84303
A375,681,POP1,4568,0,10940
A375,683,CTTNBP2,12847,0,83992
A375,685,OBSCN,3395,0,84033
A375,687,S100A11,6438,0,6282
A375,689,WDR18,5396,0,57418
A375,693,AMTN,34484,0,401138
A375,696,EBI3,5974,0,10148
A375,700,MMS22L,10848,0,253714
A375,706,HLA-A,4827,0,3105
A375,708,RGPD6,58562,0,729540
A375,711,FIP1L1,2757,0,81608
A375,712,HSP90AB1,244,0,3326
A375,714,GDPD5,8394,0,81544
A375,715,SERPINE2,9331,0,5270
A375,717,OS9,942,0,10956
A375,724,LMOD1,34244,0,25802
A375,736,GSAP,10970,0,54103
A375,739,LEMD1,6358,0,93273
A375,740,SMG8,10952,0,55181
A375,741,MELK,3443,0,9833
A375,743,PRKRA,1978,0,8575
A375,744,YWHAQ,3725,0,10971
