0,1,2,3
5809,189,0,0
2043,5809,0,0
6966,5809,0,0
1057,5809,0,0
2429,5809,0,0
5809,3249,0,0
80,5809,0,0
5809,568,0,0
4323,5809,0,0
108,5809,0,0
5809,866,0,0
5809,1558,0,0
3380,5809,0,0
5809,2836,0,0
5809,400,0,0
1831,5809,0,0
5809,438,0,0
9633,5809,0,0
536,5809,0,0
554,5809,0,0
5631,5809,0,0
5809,418,0,0
554,189,0,0
554,2043,0,0
554,6966,0,0
1057,554,0,0
2429,554,0,0
554,3249,0,0
554,80,0,0
554,568,0,0
4323,554,0,0
554,108,0,0
554,866,0,0
554,1558,0,0
3380,554,0,0
554,2836,0,0
554,400,0,0
554,1831,0,0
554,438,0,0
9633,554,0,0
536,554,0,0
5631,554,0,0
554,418,0,0
2836,189,0,0
2043,2836,0,0
6966,2836,0,0
1057,2836,0,0
2429,2836,0,0
2836,3249,0,0
80,2836,0,0
568,2836,0,0
4323,2836,0,0
108,2836,0,0
866,2836,0,0
1558,2836,0,0
3380,2836,0,0
400,2836,0,0
1831,2836,0,0
2836,438,0,0
9633,2836,0,0
536,2836,0,0
5631,2836,0,0
418,2836,0,0
80,189,0,0
80,2043,0,0
80,6966,0,0
1057,80,0,0
2429,80,0,0
80,3249,0,0
80,568,0,0
4323,80,0,0
80,108,0,0
80,866,0,0
80,1558,0,0
3380,80,0,0
80,400,0,0
80,1831,0,0
80,438,0,0
9633,80,0,0
536,80,0,0
5631,80,0,0
80,418,0,0
108,189,0,0
108,2043,0,0
108,6966,0,0
1057,108,0,0
2429,108,0,0
108,3249,0,0
108,568,0,0
4323,108,0,0
108,866,0,0
108,1558,0,0
3380,108,0,0
108,400,0,0
108,1831,0,0
108,438,0,0
9633,108,0,0
536,108,0,0
5631,108,0,0
108,418,0,0
3380,189,0,0
3380,2043,0,0
3380,6966,0,0
1057,3380,0,0
3380,2429,0,0
3380,3249,0,0
3380,568,0,0
3380,4323,0,0
3380,866,0,0
3380,1558,0,0
3380,400,0,0
3380,1831,0,0
3380,438,0,0
3380,9633,0,0
3380,536,0,0
3380,5631,0,0
3380,418,0,0
536,189,0,0
536,2043,0,0
536,6966,0,0
1057,536,0,0
2429,536,0,0
536,3249,0,0
536,568,0,0
4323,536,0,0
536,866,0,0
536,1558,0,0
536,400,0,0
536,1831,0,0
536,438,0,0
9633,536,0,0
5631,536,0,0
536,418,0,0
2043,189,0,0
6966,2043,0,0
1057,2043,0,0
2429,2043,0,0
2043,3249,0,0
2043,568,0,0
4323,2043,0,0
2043,866,0,0
2043,1558,0,0
2043,400,0,0
2043,1831,0,0
2043,438,0,0
9633,2043,0,0
5631,2043,0,0
2043,418,0,0
568,189,0,0
6966,568,0,0
1057,568,0,0
2429,568,0,0
568,3249,0,0
4323,568,0,0
866,568,0,0
1558,568,0,0
400,568,0,0
1831,568,0,0
568,438,0,0
9633,568,0,0
5631,568,0,0
418,568,0,0
400,189,0,0
6966,400,0,0
1057,400,0,0
2429,400,0,0
400,3249,0,0
4323,400,0,0
866,400,0,0
400,1558,0,0
1831,400,0,0
400,438,0,0
9633,400,0,0
5631,400,0,0
418,400,0,0
6966,189,0,0
1057,6966,0,0
2429,6966,0,0
6966,3249,0,0
4323,6966,0,0
6966,866,0,0
6966,1558,0,0
6966,1831,0,0
6966,438,0,0
9633,6966,0,0
5631,6966,0,0
6966,418,0,0
866,189,0,0
1057,866,0,0
2429,866,0,0
866,3249,0,0
4323,866,0,0
866,1558,0,0
1831,866,0,0
866,438,0,0
9633,866,0,0
5631,866,0,0
418,866,0,0
418,189,0,0
1057,418,0,0
2429,418,0,0
418,3249,0,0
4323,418,0,0
418,1558,0,0
1831,418,0,0
418,438,0,0
9633,418,0,0
5631,418,0,0
438,189,0,0
1057,438,0,0
2429,438,0,0
438,3249,0,0
4323,438,0,0
1558,438,0,0
1831,438,0,0
9633,438,0,0
5631,438,0,0
1558,189,0,0
1057,1558,0,0
2429,1558,0,0
1558,3249,0,0
4323,1558,0,0
1831,1558,0,0
9633,1558,0,0
5631,1558,0,0
4323,189,0,0
1057,4323,0,0
2429,4323,0,0
4323,3249,0,0
4323,1831,0,0
4323,9633,0,0
5631,4323,0,0
1831,189,0,0
1057,1831,0,0
2429,1831,0,0
1831,3249,0,0
9633,1831,0,0
5631,1831,0,0
189,3249,0,0
1057,3249,0,0
2429,3249,0,0
9633,3249,0,0
5631,3249,0,0
1057,189,0,0
1057,2429,0,0
1057,9633,0,0
1057,5631,0,0
2429,189,0,0
2429,9633,0,0
2429,5631,0,0
5631,189,0,0
5631,9633,0,0
9633,189,0,0
601,125,0,0
601,3364,0,0
8065,9495,0,0
7291,3627,0,0
9585,12038,0,0
12787,149,0,0
3380,125,0,0
2008,2456,0,0
2037,6937,0,0
9788,12957,0,0
8408,1785,0,0
10474,11320,0,0
7114,3832,0,0
10617,7270,0,0
779,11337,0,0
5103,11337,0,0
3612,11337,0,0
10757,57861,0,0
3666,568,0,0
2301,246,0,0
3427,7811,0,0
9370,7803,0,0
395,25,0,0
395,1785,0,0
4485,12963,0,0
54,125,0,0
1814,25,0,0
4767,2783,0,0
1887,5536,0,0
1470,12175,0,0
554,568,0,0
554,2836,0,0
554,1785,0,0
80,568,0,0
80,2836,0,0
3612,6809,0,0
10760,251,0,0
406,8662,0,0
8461,5665,0,0
739,6680,0,0
779,2994,0,0
3612,2994,0,0
2161,13782,0,0
2994,5096,0,0
530,25,0,0
40,25,0,0
3612,11643,0,0
108,1785,0,0
6966,1785,0,0
3115,3527,0,0
2213,3655,0,0
7204,9323,0,0
3399,3566,0,0
8967,12138,0,0
2356,3444,0,0
816,2608,0,0
423,35357,0,0
6743,56970,0,0
11337,57994,0,0
6758,9230,0,0
11337,6959,0,0
4765,6520,0,0
4561,35040,0,0
35018,35040,0,0
2678,3949,0,0
11337,6250,0,0
11337,1597,0,0
13672,12336,0,0
11337,9827,0,0
35040,9827,0,0
9827,3487,0,0
2339,577,0,0
125,3378,0,0
125,1298,0,0
125,3035,0,0
125,568,0,0
125,2836,0,0
125,43,0,0
125,2947,0,0
7495,11726,0,0
35040,3316,0,0
6,2755,0,0
5690,25,0,0
3434,4261,0,0
11337,2083,0,0
251,2083,0,0
2994,2083,0,0
11643,2083,0,0
10168,9923,0,0
1699,942,0,0
11198,12830,0,0
2034,9488,0,0
9235,9488,0,0
5103,9488,0,0
3612,9488,0,0
1597,9488,0,0
3083,11325,0,0
9488,9001,0,0
5522,8987,0,0
2083,8987,0,0
11337,7427,0,0
1342,9981,0,0
4599,1836,0,0
8987,11576,0,0
6724,6444,0,0
7457,7588,0,0
869,12803,0,0
4318,4132,0,0
7576,4538,0,0
5766,9829,0,0
1220,12341,0,0
13459,4769,0,0
6441,8644,0,0
2305,973,0,0
2785,9344,0,0
9264,34798,0,0
10244,9194,0,0
3612,12116,0,0
2646,8039,0,0
9950,6706,0,0
6266,234,0,0
59266,1274,0,0
7245,1785,0,0
418,25,0,0
7994,6051,0,0
11049,2915,0,0
10947,1356,0,0
2228,1356,0,0
4636,1356,0,0
1356,12976,0,0
67,1785,0,0
67,78,0,0
3553,58447,0,0
11337,2423,0,0
35040,2423,0,0
35040,3986,0,0
11337,34691,0,0
9488,34691,0,0
1356,34691,0,0
3612,10708,0,0
2228,10708,0,0
2194,4792,0,0
1558,177,0,0
1558,78,0,0
11337,4975,0,0
9976,1785,0,0
5310,568,0,0
5310,2836,0,0
7246,9902,0,0
627,7725,0,0
35040,2854,0,0
35040,6097,0,0
1151,3972,0,0
11337,7658,0,0
11337,8204,0,0
10164,8766,0,0
31,4578,0,0
3395,6466,0,0
11337,5392,0,0
4616,1785,0,0
11337,4732,0,0
568,2836,0,0
568,1314,0,0
568,1181,0,0
568,2345,0,0
568,1774,0,0
568,9453,0,0
2836,1314,0,0
2836,2345,0,0
2836,1774,0,0
2836,9453,0,0
11337,5855,0,0
35040,8723,0,0
9369,8329,0,0
6881,2691,0,0
2994,5280,0,0
5281,3539,0,0
1106,57759,0,0
5280,57759,0,0
264,1785,0,0
6501,7335,0,0
11337,9430,0,0
1674,10198,0,0
2985,3242,0,0
9827,4135,0,0
8231,4135,0,0
4135,1016,0,0
2059,5331,0,0
6327,13641,0,0
5335,1244,0,0
743,702,0,0
3396,692,0,0
4991,3927,0,0
5594,7436,0,0
13527,3522,0,0
577,6976,0,0
551,12708,0,0
10145,34445,0,0
10838,10922,0,0
11337,13162,0,0
2306,11372,0,0
383,10156,0,0
1454,11733,0,0
1882,13796,0,0
3359,13226,0,0
11337,6003,0,0
9488,6003,0,0
617,10725,0,0
2420,9669,0,0
6833,8955,0,0
1356,3669,0,0
5488,4984,0,0
5294,10738,0,0
12190,7819,0,0
2636,6104,0,0
3201,10233,0,0
4272,12619,0,0
35040,1993,0,0
11337,492,0,0
12159,1224,0,0
965,1605,0,0
1800,738,0,0
395,256,0,0
6693,256,0,0
34425,256,0,0
4975,256,0,0
12305,256,0,0
5153,256,0,0
2340,2654,0,0
9714,13628,0,0
421,1019,0,0
654,5165,0,0
11337,5998,0,0
8380,6773,0,0
11337,7050,0,0
256,1129,0,0
11337,7386,0,0
11337,3911,0,0
57666,58257,0,0
2409,7912,0,0
4079,9292,0,0
11337,8269,0,0
87,665,0,0
2665,34441,0,0
1749,2648,0,0
6976,2921,0,0
1242,5704,0,0
1356,1785,0,0
1785,3249,0,0
6690,10070,0,0
35040,3518,0,0
9488,10269,0,0
7556,1621,0,0
8013,3509,0,0
2228,3509,0,0
5280,3509,0,0
10182,10037,0,0
9488,1437,0,0
11337,4292,0,0
35040,4292,0,0
3428,11788,0,0
3871,3119,0,0
230,5466,0,0
2723,2336,0,0
3212,3169,0,0
362,693,0,0
10256,4833,0,0
2865,2840,0,0
9837,6526,0,0
256,11526,0,0
9488,2951,0,0
1782,2951,0,0
3509,2951,0,0
866,568,0,1
418,866,0,1
1831,568,0,1
1831,3249,0,1
568,3249,0,1
80,3249,0,1
80,1831,0,1
4323,536,0,1
8065,9495,1,0
54,1814,1,0
54,6254,1,0
1814,6254,1,0
1814,4880,1,0
6254,4880,1,0
34253,13323,1,0
4060,3516,1,0
4060,1139,1,0
4060,12669,1,0
4060,4295,1,0
4060,60251,1,0
4060,10186,1,0
4060,4127,1,0
4060,425,1,0
4060,11979,1,0
4060,1310,1,0
4060,7262,1,0
4060,6030,1,0
4060,56573,1,0
4060,1929,1,0
3516,1139,1,0
3516,12669,1,0
3516,4295,1,0
3516,60251,1,0
3516,10186,1,0
3516,4127,1,0
3516,425,1,0
3516,11979,1,0
3516,1310,1,0
3516,7262,1,0
3516,6030,1,0
3516,56573,1,0
3516,1929,1,0
1139,12669,1,0
1139,4295,1,0
1139,60251,1,0
1139,10186,1,0
1139,4127,1,0
1139,425,1,0
1139,11979,1,0
1139,1310,1,0
1139,7262,1,0
1139,6030,1,0
1139,56573,1,0
1139,1929,1,0
12669,4295,1,0
12669,60251,1,0
12669,10186,1,0
12669,4127,1,0
12669,425,1,0
12669,11979,1,0
12669,1310,1,0
12669,7262,1,0
12669,6030,1,0
12669,56573,1,0
12669,1929,1,0
4295,60251,1,0
4295,10186,1,0
4295,4127,1,0
4295,425,1,0
4295,11979,1,0
4295,1310,1,0
4295,7262,1,0
4295,6030,1,0
4295,56573,1,0
4295,1929,1,0
60251,10186,1,0
60251,4127,1,0
60251,425,1,0
60251,11979,1,0
60251,1310,1,0
60251,7262,1,0
60251,6030,1,0
60251,56573,1,0
60251,1929,1,0
10186,4127,1,0
10186,425,1,0
10186,11979,1,0
10186,1310,1,0
10186,7262,1,0
10186,6030,1,0
10186,56573,1,0
10186,1929,1,0
4127,425,1,0
4127,11979,1,0
4127,1310,1,0
4127,7262,1,0
4127,6030,1,0
4127,56573,1,0
4127,1929,1,0
425,11979,1,0
425,1310,1,0
425,7262,1,0
425,6030,1,0
425,56573,1,0
425,1929,1,0
11979,1310,1,0
11979,7262,1,0
11979,6030,1,0
11979,56573,1,0
