0,1,2,3
5594,11299,2,0.0
12159,3630,2,0.0
11197,3542,2,0.0
4020,4132,2,0.0
3217,2058,2,0.0
7785,13712,2,0.0
3282,4456,2,0.0
4538,6241,2,0.0
57396,3805,2,0.0
2603,2299,2,0.0
5213,7026,2,0.0
8762,56947,2,0.0
8255,3639,2,0.0
3217,11447,2,0.0
5594,3902,2,0.0
207,472,2,0.0
530,33978,2,0.0
1674,3242,2,0.0
11447,7094,2,0.0
9110,7352,2,0.0
2563,6949,2,0.0
8316,1361,2,0.0
8444,2735,2,0.0
1010,4869,2,0.0
8511,3286,2,0.0
613,3217,2,0.0
8473,6730,2,0.0
11472,10027,2,0.0
12204,494,2,0.0
13781,55,2,0.0
8235,435,2,0.0
1277,5751,2,0.0
2064,4806,2,0.0
8005,8992,2,0.0
7388,824,2,0.0
10162,3441,2,0.0
11042,8364,2,0.0
953,472,2,0.0
5711,11003,2,0.0
2132,10573,2,0.0
530,28,2,0.0
6586,55,2,0.0
4030,2932,2,0.0
2227,6932,2,0.0
6847,6022,2,0.0
2735,34185,2,0.0
2929,6965,2,0.0
6776,6590,2,0.0
6459,1273,2,0.0
210,1765,2,0.0
8992,5906,2,0.0
7635,4246,2,0.0
2483,5012,2,0.0
3735,8782,2,0.0
6251,435,2,0.0
12105,5906,2,0.0
11472,4790,2,0.0
12159,6022,2,0.0
1181,7966,2,0.0
6455,3735,2,0.0
1558,8709,2,0.0
2132,2366,2,0.0
6041,2642,2,0.0
6847,3805,2,0.0
1558,4569,2,0.0
2013,6980,2,0.0
60253,11299,2,0.0
12068,4020,2,0.0
4860,11321,2,0.0
1720,9142,2,0.0
546,4591,2,0.0
6624,8089,2,0.0
6803,10567,2,0.0
6965,59354,2,0.0
3002,1273,2,0.0
4739,8756,2,0.0
1047,56947,2,0.0
10162,8364,2,0.0
3242,1518,2,0.0
7889,9876,2,0.0
57018,8671,2,0.0
11042,6893,2,0.0
953,6023,2,0.0
57277,7026,2,0.0
8235,12565,2,0.0
57389,6622,2,0.0
5574,8680,2,0.0
530,4991,2,0.0
7250,1010,2,0.0
11869,1011,2,0.0
546,4844,2,0.0
4456,1184,2,0.0
5574,4132,2,0.0
11042,57038,2,0.0
5476,2483,2,0.0
11472,13781,2,0.0
5751,8721,2,0.0
3353,6590,2,0.0
12068,9142,2,0.0
530,2162,2,0.0
7250,8709,2,0.0
57018,6622,2,0.0
1181,13080,2,0.0
9555,121,2,0.0
6980,6714,2,0.0
3286,8574,2,0.0
11452,9142,2,0.0
3083,1184,2,0.0
5213,8484,2,0.0
4591,11447,2,0.0
8848,10855,2,0.0
3610,117,2,0.0
8330,10855,2,0.0
56947,13781,2,0.0
5210,9626,2,0.0
10027,8444,2,0.0
5574,1584,2,0.0
3002,4991,2,0.0
8444,1224,2,0.0
8255,7635,2,0.0
962,8364,2,0.0
6251,8618,2,0.0
4004,2642,2,0.0
9071,1454,2,0.0
3733,12607,2,0.0
5751,7338,2,0.0
6932,2997,2,0.0
3805,5857,2,0.0
3542,8364,2,0.0
56947,55,2,0.0
7966,34185,2,0.0
2132,1181,2,0.0
5310,2058,2,0.0
4860,9412,2,0.0
2227,1729,2,0.0
9110,6624,2,0.0
1675,7531,2,0.0
7026,117,2,0.0
6586,8618,2,0.0
4030,58378,2,0.0
12565,13712,2,0.0
3242,8848,2,0.0
13781,2411,2,0.0
3735,35328,2,0.0
4132,3525,2,0.0
2064,3733,2,0.0
10198,5089,2,0.0
5629,383,2,0.0
11077,383,2,0.0
54,28,2,0.0
7531,1011,2,0.0
7352,655,2,0.0
2516,9626,2,0.0
8330,2932,2,0.0
5449,9660,2,0.0
2912,8235,2,0.0
2162,13080,2,0.0
2299,4365,2,0.0
3083,56947,2,0.0
2132,8316,2,0.0
12068,4869,2,0.0
10245,8253,2,0.0
57018,12105,2,0.0
11691,6590,2,0.0
7785,10567,2,0.0
418,1558,0,0.0
3217,2222,2,0.0
5459,6965,2,0.0
12925,3217,2,0.0
11325,1584,2,0.0
716,4991,2,0.0
1345,6041,2,0.0
7727,12910,2,0.0
4723,9546,2,0.0
3275,6590,2,0.0
2646,4860,2,0.0
7502,10339,2,0.0
6459,10444,2,0.0
9440,11299,2,0.0
10855,10567,2,0.0
31,383,2,0.0
12732,10162,2,0.0
12159,2646,2,0.0
953,2222,2,0.0
2555,6022,2,0.0
6847,6776,2,0.0
4613,6241,2,0.0
12565,55,2,0.0
2642,1268,2,0.0
3436,7432,2,0.0
5213,3083,2,0.0
1319,5845,2,0.0
3733,57396,2,0.0
9985,31,2,0.0
2064,2496,2,0.0
207,1268,2,0.0
3238,1729,2,0.0
12105,13641,2,0.0
1010,10198,2,0.0
8167,8253,2,0.0
494,5857,2,0.0
9110,56947,2,0.0
2383,11452,2,0.0
3184,4208,2,0.0
1858,4456,2,0.0
3050,3040,2,0.0
2718,6590,2,0.0
11321,2411,2,0.0
435,4834,2,0.0
546,5906,2,0.0
3238,57396,2,0.0
6624,9776,2,0.0
4456,10567,2,0.0
1898,879,2,0.0
11321,13080,2,0.0
9071,5488,2,0.0
8473,7727,2,0.0
9440,9876,2,0.0
613,12910,2,0.0
3002,1558,2,0.0
4445,35328,2,0.0
10125,1361,2,0.0
8473,5488,2,0.0
2132,2411,2,0.0
8307,2483,2,0.0
1518,34185,2,0.0
8762,11321,2,0.0
2144,5635,2,0.0
4091,5574,2,0.0
11325,5017,2,0.0
4408,7933,2,0.0
7635,3805,2,0.0
12159,8364,2,0.0
1047,4869,2,0.0
4569,13080,2,0.0
8255,655,2,0.0
6847,6714,2,0.0
4790,11042,2,0.0
2912,8473,2,0.0
6626,2932,2,0.0
2132,2757,2,0.0
2646,12910,2,0.0
6586,207,2,0.0
2064,1011,2,0.0
6949,8253,2,0.0
6801,5122,2,0.0
2064,716,2,0.0
1675,6965,2,0.0
54,8316,2,0.0
3353,5488,2,0.0
12925,28,2,0.0
4998,5012,2,0.0
4790,57389,2,0.0
10806,13080,2,0.0
8307,6455,2,0.0
1319,6932,2,0.0
1898,11472,2,0.0
11691,18,2,0.0
5281,6241,2,0.0
727,4456,2,0.0
2555,4789,2,0.0
9876,18,2,0.0
504,5512,2,0.0
2642,210,2,0.0
2657,6451,2,0.0
4722,4844,2,0.0
1584,879,2,0.0
8005,31,2,0.0
5711,3282,2,0.0
6624,10339,2,0.0
1851,9776,2,0.0
5281,55,2,0.0
530,10444,2,0.0
10124,8721,2,0.0
56947,1224,2,0.0
56947,1558,2,0.0
7785,10855,2,0.0
6847,2932,2,0.0
3063,4456,2,0.0
12204,6455,2,0.0
1858,3441,2,0.0
2366,8618,2,0.0
13781,12910,2,0.0
57018,2222,2,0.0
5522,11003,2,0.0
1047,3639,2,0.0
9271,13105,2,0.0
7635,57389,2,0.0
2013,9876,2,0.0
12159,10444,2,0.0
9528,2162,2,0.0
7727,2997,2,0.0
2901,4806,2,0.0
2374,9142,2,0.0
207,7862,2,0.0
4456,11691,2,0.0
