0,1,2,3
35040,9827,0,0
2043,3249,0,0
11337,2083,0,0
568,2836,0,0
568,189,0,0
1831,189,0,0
2429,400,0,0
1057,5631,0,0
3380,189,0,0
536,1831,0,0
11337,6003,0,0
536,2043,0,0
11337,34691,0,0
2429,2836,0,0
3380,2836,0,0
1057,1558,0,0
5631,9633,0,0
6966,1785,0,0
5488,4984,0,0
9633,3249,0,0
3612,6809,0,0
4765,6520,0,0
418,3249,0,0
2836,2345,0,0
5631,438,0,0
4975,256,0,0
12159,1224,0,0
87,665,0,0
10757,57861,0,0
2043,418,0,0
5631,108,0,0
554,6966,0,0
67,1785,0,0
2646,8039,0,0
7994,6051,0,0
3380,125,0,0
80,2836,0,0
2429,6966,0,0
6441,8644,0,0
1356,12976,0,0
1057,3380,0,0
400,2836,0,0
3395,6466,0,0
256,1129,0,0
3871,3119,0,0
108,2836,0,0
5153,256,0,0
10256,4833,0,0
3612,12116,0,0
4323,108,0,0
568,2345,0,0
5631,80,0,0
5631,4323,0,0
9633,568,0,0
5522,8987,0,0
1106,57759,0,0
54,125,0,0
264,1785,0,0
551,12708,0,0
2429,80,0,0
4318,4132,0,0
5294,10738,0,0
7246,9902,0,0
4323,2043,0,0
4079,9292,0,0
2836,189,0,0
536,1558,0,0
536,438,0,0
2865,2840,0,0
4323,80,0,0
418,866,0,1
418,189,0,0
80,568,0,0
256,11526,0,0
2429,554,0,0
2678,3949,0,0
108,1831,0,0
4323,866,0,0
3666,568,0,0
11337,5855,0,0
1831,3249,0,1
5809,568,0,0
1151,3972,0,0
2043,2836,0,0
7457,7588,0,0
11337,5998,0,0
11337,6959,0,0
1057,568,0,0
12787,149,0,0
10164,8766,0,0
568,438,0,0
3380,866,0,0
3201,10233,0,0
3380,9633,0,0
35040,3518,0,0
6966,418,0,0
108,1785,0,0
1356,3669,0,0
1057,866,0,0
9264,34798,0,0
2836,3249,0,0
1470,12175,0,0
9633,418,0,0
1057,189,0,0
6966,189,0,0
11337,5392,0,0
3380,1831,0,0
9633,5809,0,0
3428,11788,0,0
6966,1831,0,0
12305,256,0,0
7576,4538,0,0
554,568,0,0
3612,9488,0,0
1356,34691,0,0
1558,568,0,0
5809,3249,0,0
230,5466,0,0
4323,9633,0,0
6966,1558,0,0
1597,9488,0,0
80,5809,0,0
8987,11576,0,0
2037,6937,0,0
3380,6966,0,0
438,189,0,0
3380,438,0,0
108,866,0,0
1057,4323,0,0
5809,1558,0,0
3427,7811,0,0
418,400,0,0
4323,418,0,0
13527,3522,0,0
1831,568,0,1
11643,2083,0,0
35040,4292,0,0
5631,5809,0,0
9370,7803,0,0
4767,2783,0,0
9950,6706,0,0
4599,1836,0,0
601,3364,0,0
4323,1831,0,0
6501,7335,0,0
4616,1785,0,0
40,25,0,0
1558,189,0,0
6966,2043,0,0
4323,6966,0,0
400,1558,0,0
6966,2836,0,0
743,702,0,0
3612,2994,0,0
4636,1356,0,0
108,400,0,0
4272,12619,0,0
6966,568,0,0
2420,9669,0,0
5631,418,0,0
35040,2423,0,0
8461,5665,0,0
3380,536,0,0
9827,4135,0,0
35040,3986,0,0
2043,189,0,0
10838,10922,0,0
866,1558,0,0
2228,3509,0,0
554,80,0,0
80,1831,0,1
7204,9323,0,0
5631,536,0,0
5280,57759,0,0
9633,866,0,0
9633,189,0,0
5631,866,0,0
11337,9827,0,0
568,1314,0,0
80,6966,0,0
536,108,0,0
554,5809,0,0
6327,13641,0,0
3380,400,0,0
6690,10070,0,0
35018,35040,0,0
395,25,0,0
8408,1785,0,0
1057,3249,0,0
11337,4732,0,0
866,3249,0,0
10474,11320,0,0
7245,1785,0,0
4323,536,0,0
866,438,0,0
2161,13782,0,0
35040,6097,0,0
2429,438,0,0
554,2836,0,0
8380,6773,0,0
400,3249,0,0
11337,7658,0,0
125,2836,0,0
9488,34691,0,0
4323,568,0,0
2994,5096,0,0
866,400,0,0
2306,11372,0,0
11337,4292,0,0
108,3249,0,0
6966,438,0,0
125,3035,0,0
5631,2043,0,0
57666,58257,0,0
5103,11337,0,0
421,1019,0,0
2043,400,0,0
568,1774,0,0
2305,973,0,0
2429,3249,0,0
3380,5631,0,0
6966,400,0,0
125,2947,0,0
6724,6444,0,0
554,1831,0,0
816,2608,0,0
80,400,0,0
11337,8269,0,0
108,438,0,0
4135,1016,0,0
6966,5809,0,0
9633,400,0,0
80,418,0,0
739,6680,0,0
2043,1831,0,0
418,438,0,0
9235,9488,0,0
654,5165,0,0
1831,568,0,0
866,568,0,0
617,10725,0,0
6966,866,0,0
80,1558,0,0
418,1558,0,0
108,1558,0,0
418,25,0,0
125,1298,0,0
1882,13796,0,0
5631,189,0,0
4323,554,0,0
108,418,0,0
1887,5536,0,0
125,3378,0,0
2985,3242,0,0
7495,11726,0,0
5280,3509,0,0
10617,7270,0,0
5690,25,0,0
568,3249,0,1
4323,438,0,0
1831,5809,0,0
9633,554,0,0
7114,3832,0,0
11337,492,0,0
13672,12336,0,0
9488,9001,0,0
1749,2648,0,0
4485,12963,0,0
