gene_1,gene_2,cell_line_origin,horlbeck_score_SL_score,gene1_primekg_index,gene2_primekg_index,label,cell_id
ACACA,ACACB,A549,-1.17e-05,8065,9495,0,1
AURKA,AURKB,A549,0.000725275,54,1814,0,1
AURKA,AURKC,A549,0.000570458,54,6254,0,1
AURKB,AURKC,A549,-0.00217088,1814,6254,0,1
AURKB,PLK4,A549,-0.001664812,1814,4880,0,1
AURKC,PLK4,A549,0.004377455,6254,4880,0,1
DGAT2,MOGAT2,A549,-0.010375275,34253,13323,0,1
BAD,BAK1,A549,-0.002856646,4060,3516,0,1
BAD,BAX,A549,-0.010152299,4060,1139,0,1
BAD,BBC3,A549,-0.003386036,4060,12669,0,1
BAD,BCL2L11,A549,-0.005659461,4060,4295,0,1
BAD,BCL2L12,A549,-0.006646336,4060,60251,0,1
BAD,BCL2L14,A549,0.001801837,4060,10186,0,1
BAD,BID,A549,0.002002987,4060,4127,0,1
BAD,BIK,A549,-0.009671072,4060,425,0,1
BAD,BMF,A549,-0.012785008,4060,11979,0,1
BAD,BNIP3,A549,-0.005402039,4060,1310,0,1
BAD,BNIP3L,A549,-0.00567325,4060,7262,0,1
BAD,BOK,A549,-0.007362403,4060,6030,0,1
BAD,HRK,A549,-0.00019786,4060,56573,0,1
BAD,PMAIP1,A549,-0.003342372,4060,1929,0,1
BAK1,BAX,A549,-0.00039072,3516,1139,0,1
BAK1,BBC3,A549,0.005351914,3516,12669,0,1
BAK1,BCL2L11,A549,0.001750018,3516,4295,0,1
BAK1,BCL2L12,A549,-0.003857618,3516,60251,0,1
BAK1,BCL2L14,A549,0.007364695,3516,10186,0,1
BAK1,BID,A549,0.010256402,3516,4127,0,1
BAK1,BIK,A549,-0.001318984,3516,425,0,1
BAK1,BMF,A549,0.000265509,3516,11979,0,1
BAK1,BNIP3,A549,0.012574067,3516,1310,0,1
BAK1,BNIP3L,A549,-0.006330298,3516,7262,0,1
BAK1,BOK,A549,0.002108443,3516,6030,0,1
BAK1,HRK,A549,-0.001898195,3516,56573,0,1
BAK1,PMAIP1,A549,0.005134019,3516,1929,0,1
BAX,BBC3,A549,0.000737062,1139,12669,0,1
BAX,BCL2L11,A549,0.003050331,1139,4295,0,1
BAX,BCL2L12,A549,-0.012409742,1139,60251,0,1
BAX,BCL2L14,A549,-0.002769479,1139,10186,0,1
BAX,BID,A549,0.008492339,1139,4127,0,1
BAX,BIK,A549,-0.007450474,1139,425,0,1
BAX,BMF,A549,-0.006178912,1139,11979,0,1
BAX,BNIP3,A549,0.00392684,1139,1310,0,1
BAX,BNIP3L,A549,-0.006990969,1139,7262,0,1
BAX,BOK,A549,-0.004402848,1139,6030,0,1
BAX,HRK,A549,0.000145203,1139,56573,0,1
BAX,PMAIP1,A549,-0.000340724,1139,1929,0,1
BBC3,BCL2L11,A549,0.004637907,12669,4295,0,1
BBC3,BCL2L12,A549,-0.008303887,12669,60251,0,1
BBC3,BCL2L14,A549,0.008234973,12669,10186,0,1
BBC3,BID,A549,0.002669229,12669,4127,0,1
BBC3,BIK,A549,0.006263879,12669,425,0,1
BBC3,BMF,A549,0.004456845,12669,11979,0,1
BBC3,BNIP3,A549,0.002122648,12669,1310,0,1
BBC3,BNIP3L,A549,-0.000712089,12669,7262,0,1
BBC3,BOK,A549,-0.003827929,12669,6030,0,1
BBC3,HRK,A549,0.005709145,12669,56573,0,1
BBC3,PMAIP1,A549,0.010246119,12669,1929,0,1
BCL2L11,BCL2L12,A549,-0.009411162,4295,60251,0,1
BCL2L11,BCL2L14,A549,-0.00060374,4295,10186,0,1
BCL2L11,BID,A549,0.001920561,4295,4127,0,1
BCL2L11,BIK,A549,-0.007467752,4295,425,0,1
BCL2L11,BMF,A549,-0.000961425,4295,11979,0,1
BCL2L11,BNIP3,A549,0.010132959,4295,1310,0,1
