0,1,2,3
10512,8771,1,0
802,7134,1,0
2448,2936,1,0
6019,2198,1,0
332,125,1,0
2290,3244,1,0
1618,2423,1,0
591,7457,1,0
3314,3772,1,0
3380,418,1,0
5910,6327,1,0
337,4769,1,0
2104,2198,1,0
116,6966,1,0
1298,298,1,0
852,887,1,0
2423,1785,1,0
577,3244,1,0
6998,4073,1,0
11116,10381,1,0
9724,6784,1,0
34008,1066,1,0
2843,4173,1,0
236,3438,1,0
1097,617,1,0
108,617,1,0
8771,7481,1,0
7457,9983,1,0
38,5918,1,0
4323,536,1,0
802,3509,1,0
1097,43,1,0
5631,2043,1,0
802,2198,1,0
6019,1097,1,0
7775,5017,1,0
9394,2522,1,0
10186,1929,1,0
2543,3249,1,0
1057,3249,1,0
2290,802,1,0
652,7457,1,0
6019,1066,1,0
11116,894,1,0
406,8662,1,0
1031,10745,1,0
1286,1341,1,0
3666,1016,1,0
390,298,1,0
1057,116,1,0
1031,12301,1,0
80,332,1,0
4812,10745,1,0
4812,9989,1,0
601,9008,1,0
2585,4173,1,0
2423,609,1,0
1057,9633,1,0
5202,1558,1,0
7588,4073,1,0
2290,2429,1,0
2305,973,1,0
2043,1558,1,0
116,2423,1,0
6966,568,1,0
1899,12301,1,0
591,7775,1,0
7705,59212,1,0
941,11612,1,0
332,3246,1,0
116,1831,1,0
6933,385,1,0
10745,12301,1,0
3434,6742,1,0
54,6254,1,0
8778,7838,1,0
6019,5202,1,0
1600,492,1,0
2429,400,1,0
80,749,1,0
527,1320,1,0
4073,6742,1,0
390,1097,1,0
6705,5983,1,0
80,150,1,0
2037,67,1,0
7987,7621,1,0
11589,385,1,0
11116,7588,1,0
10512,11589,1,0
5131,250,1,0
3307,3110,1,0
1097,177,1,0
337,5202,1,0
1559,9264,1,0
9264,3772,1,0
822,67,1,0
34008,5202,1,0
108,866,1,0
7481,4173,1,0
34008,337,1,0
7481,7829,1,0
1618,10508,1,0
1559,298,1,0
1320,11575,1,0
2429,150,1,0
10745,4173,1,0
8395,10381,1,0
3189,8771,1,0
6019,1559,1,0
3380,400,1,0
3189,5017,1,0
2585,10512,1,0
3189,6998,1,0
2429,577,1,0
6966,1097,1,0
1899,5514,1,0
1034,2005,1,0
6357,749,1,0
236,298,1,0
108,5202,1,0
1540,2585,1,0
554,866,1,0
5202,298,1,0
9008,492,1,0
150,5414,1,0
125,2198,1,0
502,5930,1,0
8798,9724,1,0
3314,609,1,0
6019,5794,1,0
385,2936,1,0
12301,385,1,0
80,1600,1,0
6966,749,1,0
418,568,1,0
2423,78,1,0
6019,3438,1,0
1016,3244,1,0
11206,2243,1,0
7457,11589,1,0
5794,3249,1,0
10745,1320,1,0
390,2037,1,1
2037,6966,1,1
34008,150,1,1
5794,1016,1,1
3314,67,1,1
1034,492,1,1
2037,43,1,1
2037,1559,1,1
2543,3314,1,1
34008,298,1,1
3314,2423,1,1
2037,3666,1,1
1558,1170,1,1
2037,3772,1,1
2037,2108,1,1
1441,3314,1,1
2037,609,1,1
9264,3314,1,1
1057,822,1,1
2037,1066,1,1
2104,1600,1,1
822,2423,1,1
802,10508,1,1
337,10508,1,1
2037,125,1,1
337,108,1,1
822,3509,1,1
236,1831,1,1
1034,1600,1,1
2037,34008,1,1
822,1298,1,1
2037,749,1,1
2037,3246,1,1
1558,78,1,1
2037,1097,1,1
492,78,1,1
2037,7134,1,1
337,2423,1,1
1558,3244,1,1
34008,236,1,1
2290,34008,1,1
2290,337,1,1
822,5794,1,1
236,3244,1,1
1034,822,1,1
802,78,1,1
390,3314,1,1
34008,3246,1,1
337,5794,1,1
2037,3314,1,1
34008,7134,1,1
1016,1600,1,1
3246,1600,1,1
2037,4769,1,1
492,749,1,1
2037,822,1,1
1558,1016,1,1
337,568,1,1
1558,1641,1,1
2037,5794,1,1
822,5414,1,1
2037,298,1,1
1980,822,1,1
125,822,1,1
390,337,1,1
1559,3314,1,1
34008,43,1,1
34008,3666,1,1
1600,78,1,1
2043,78,1,1
3314,5794,1,1
802,822,1,1
34008,1785,1,1
1057,2037,1,1
34008,67,1,1
822,1441,1,1
34008,5794,1,1
6019,3314,1,1
337,1066,1,1
10508,1600,1,1
34008,9008,1,1
337,1618,1,1
822,9264,1,1
1016,3249,1,1
822,5202,1,1
2037,177,1,1
337,2043,1,1
337,617,1,1
337,609,1,1
601,2037,1,1
601,337,1,1
802,125,1,1
3314,2005,1,1
3314,492,1,1
337,3249,1,1
2037,1980,1,1
1057,1600,1,1
34008,2543,1,1
34008,3438,1,1
337,492,1,1
2037,3244,1,1
2037,5202,1,1
802,3314,1,1
2037,3438,1,1
1558,617,1,1
34008,1641,1,1
10508,1016,1,1
3314,78,1,1
1016,3509,1,1
822,4769,1,1
2037,10508,1,1
337,3244,1,1
337,3314,1,1
337,125,1,1
822,609,1,1
9008,3314,1,1
34008,2198,1,1
1097,1558,1,1
1980,3314,1,1
2037,337,1,1
337,1600,1,1
3314,6357,1,1
9264,1600,1,1
2290,2037,1,1
1016,2198,1,1
80,1558,1,1
337,5414,1,1
6966,1558,1,1
2037,3249,1,1
34008,492,1,1
34008,2423,1,1
2037,116,1,1
2290,822,1,1
337,1559,1,1
34008,6966,1,1
2108,1600,1,1
609,492,1,1
822,3314,1,1
5414,3509,1,1
2037,2005,1,1
802,2043,1,1
1441,1558,1,1
34008,1618,1,1
