0,1,2,3
2013,2144,2,0.0
613,7785,2,0.0
12159,13080,2,0.0
6893,383,2,0.0
35297,10125,2,0.0
34015,11059,2,0.0
6980,8574,2,0.0
1011,9776,2,0.0
2757,8756,2,0.0
8005,446,2,0.0
1675,1518,2,0.0
5751,7094,2,0.0
7531,6459,2,0.0
7727,8680,2,0.0
3040,4834,2,0.0
57018,1605,2,0.0
11442,7502,2,0.0
11691,6022,2,0.0
222,59,2,0.0
2563,5556,2,0.0
3063,8812,2,0.0
5213,5736,2,0.0
13105,9660,2,0.0
7635,4897,2,0.0
4723,9412,2,0.0
5210,3733,2,0.0
3902,5012,2,0.0
3353,7125,2,0.0
8992,9776,2,0.0
5213,2162,2,0.0
4538,9776,2,0.0
727,4246,2,0.0
716,8089,2,0.0
9271,3184,2,0.0
11493,10162,2,0.0
4897,8364,2,0.0
12565,11691,2,0.0
11231,4208,2,0.0
4592,18,2,0.0
13105,34185,2,0.0
8307,7388,2,0.0
7231,6624,2,0.0
33978,8782,2,0.0
1858,28,2,0.0
6590,10567,2,0.0
2144,3735,2,0.0
4132,8782,2,0.0
5736,716,2,0.0
4591,827,2,0.0
33978,10339,2,0.0
11869,58378,2,0.0
1273,8721,2,0.0
2064,6251,2,0.0
9110,4020,2,0.0
5310,6841,2,0.0
2299,58378,2,0.0
4828,2932,2,0.0
4360,10198,2,0.0
3630,7933,2,0.0
3242,13781,2,0.0
3040,8848,2,0.0
11472,3282,2,0.0
8484,13781,2,0.0
3238,4722,2,0.0
5629,6932,2,0.0
11824,1051,2,0.0
5459,11321,2,0.0
716,35328,2,0.0
4613,6022,2,0.0
7727,7933,2,0.0
8756,8848,2,0.0
5142,1605,2,0.0
8255,1224,2,0.0
5122,10855,2,0.0
1720,34747,2,0.0
3735,8089,2,0.0
3733,727,2,0.0
2646,383,2,0.0
12925,34185,2,0.0
2144,2646,2,0.0
12068,879,2,0.0
4365,11603,2,0.0
8330,2222,2,0.0
827,4030,2,0.0
5845,2058,2,0.0
6893,7352,2,0.0
6965,12925,2,0.0
4998,3902,2,0.0
4223,3735,2,0.0
3275,11447,2,0.0
13641,7094,2,0.0
10124,5629,2,0.0
3353,6730,2,0.0
13641,827,2,0.0
4723,2932,2,0.0
8307,3441,2,0.0
11671,12607,2,0.0
4445,5906,2,0.0
6023,4642,2,0.0
5213,12925,2,0.0
2559,1361,2,0.0
6586,256,2,0.0
3063,59354,2,0.0
1605,8574,2,0.0
7338,9412,2,0.0
3610,11077,2,0.0
6803,6022,2,0.0
5210,5122,2,0.0
3275,11493,2,0.0
7862,3217,2,0.0
1720,2227,2,0.0
4020,9546,2,0.0
3002,11197,2,0.0
57018,4456,2,0.0
