0,1,2,3
5736,11299,2,0.0
3195,1184,2,0.0
11452,117,2,0.0
1108,4828,2,0.0
10027,35328,2,0.0
1010,7026,2,0.0
1851,11321,2,0.0
11231,5476,2,0.0
953,8812,2,0.0
2058,34671,2,0.0
6949,1605,2,0.0
1858,11447,2,0.0
6893,1184,2,0.0
6626,1729,2,0.0
9271,2657,2,0.0
2555,7094,2,0.0
33978,58302,2,0.0
9985,1558,2,0.0
11442,5635,2,0.0
10245,1011,2,0.0
3436,1765,2,0.0
5459,4408,2,0.0
4020,11758,2,0.0
6586,11758,2,0.0
5527,11869,2,0.0
9546,12910,2,0.0
4360,8444,2,0.0
1898,3326,2,0.0
3083,811,2,0.0
6626,1674,2,0.0
3083,8253,2,0.0
11824,6241,2,0.0
2132,60253,2,0.0
3610,28,2,0.0
2555,8167,2,0.0
3050,2383,2,0.0
494,1268,2,0.0
3195,2932,2,0.0
9985,9071,2,0.0
2912,3195,2,0.0
222,6022,2,0.0
8511,57038,2,0.0
7026,3902,2,0.0
2646,31,2,0.0
5522,5017,2,0.0
7502,2932,2,0.0
494,1273,2,0.0
31,57396,2,0.0
8316,8213,2,1.0
8310,2757,2,0.0
494,504,2,0.0
1851,1729,2,0.0
4219,11493,2,0.0
7862,1361,2,0.0
8473,4591,2,0.0
13781,6241,2,0.0
3040,6455,2,0.0
7388,8848,2,0.0
2383,34185,2,0.0
1518,6932,2,0.0
4790,2718,2,0.0
3063,3217,2,0.0
12159,8364,2,0.0
1011,13080,2,0.0
8158,10125,2,0.0
5522,3282,2,0.0
4591,5012,2,0.0
10027,6241,2,0.0
7231,6455,2,0.0
2642,8618,2,0.0
4828,60253,2,0.0
4408,6803,2,0.0
13105,5857,2,0.0
207,4592,2,0.0
121,9271,2,0.0
5527,10339,2,0.0
10124,827,2,0.0
2013,8235,2,0.0
5310,4789,2,0.0
4739,3441,2,0.0
5210,1858,2,0.0
2366,6980,2,0.0
716,4004,2,0.0
8158,6022,2,0.0
879,11447,2,0.0
4360,8307,2,0.0
5574,34671,2,0.0
1675,3242,2,0.0
4723,121,2,0.0
953,2555,2,0.0
5527,8709,2,0.0
11869,2997,2,0.0
7727,7338,2,0.0
827,7352,2,0.0
3195,7933,2,0.0
11869,12910,2,0.0
11452,1181,2,0.0
12105,8680,2,0.0
8307,8671,2,0.0
1674,2881,2,0.0
2757,4897,2,0.0
10245,4223,2,0.0
1858,60253,2,0.0
9555,4828,2,0.0
1605,58378,2,0.0
4020,4004,2,0.0
6776,3441,2,0.0
7338,7352,2,0.0
435,1268,2,0.0
10573,3542,2,0.0
31,7094,2,0.0
13105,383,2,0.0
2603,13712,2,0.0
9876,1765,2,0.0
4739,765,2,0.0
5213,3238,2,0.0
5711,1851,2,0.0
2383,3040,2,0.0
7250,7279,2,0.0
435,6459,2,0.0
7966,3805,2,0.0
4538,9776,2,0.0
3238,1720,2,0.0
6776,6451,2,0.0
57018,5210,2,0.0
1277,3286,2,0.0
2483,7094,2,0.0
11869,6241,2,0.0
3238,10855,2,0.0
8709,8484,2,0.0
7231,1224,2,0.0
6251,8089,2,0.0
8213,10573,2,0.0
3441,10339,2,0.0
1675,18,2,0.0
953,1361,2,0.0
3275,6022,2,0.0
11077,11299,2,0.0
8307,2144,2,0.0
1765,5488,2,0.0
2563,2383,2,0.0
2718,60253,2,0.0
8307,6980,2,0.0
5845,1558,2,0.0
811,6241,2,0.0
6624,1584,2,0.0
6251,4365,2,0.0
12105,4020,2,0.0
117,55,2,0.0
8762,117,2,0.0
9555,6586,2,0.0
12925,6893,2,0.0
530,12732,2,0.0
1345,2132,2,0.0
8255,7352,2,0.0
11321,8848,2,0.0
1675,2366,2,0.0
5210,1518,2,0.0
13641,3805,2,0.0
8255,504,2,0.0
2642,3217,2,0.0
11758,8574,2,0.0
12204,6624,2,0.0
7231,4828,2,0.0
1675,546,2,0.0
4723,8671,2,0.0
2559,7125,2,0.0
8484,1051,2,0.0
11231,1108,2,0.0
5281,12607,2,0.0
7291,2912,2,0.0
6847,3184,2,0.0
504,5017,2,0.0
2603,3542,2,0.0
4998,8671,2,0.0
2912,7727,2,0.0
1010,3184,2,0.0
6459,8721,2,0.0
11321,6622,2,0.0
8235,11447,2,0.0
2144,5574,2,0.0
3630,6714,2,0.0
7231,5751,2,0.0
765,3441,2,0.0
6455,8364,2,0.0
9985,6622,2,0.0
4897,4456,2,0.0
4246,4456,2,0.0
2642,2162,2,0.0
4991,3639,2,0.0
8310,5857,2,0.0
7889,8213,2,0.0
8005,7436,2,0.0
9440,613,2,0.0
962,8992,2,0.0
12159,2064,2,0.0
10124,6022,2,0.0
12204,1361,2,0.0
8213,12910,2,0.0
546,8812,2,0.0
6624,9776,2,0.0
9071,2901,2,0.0
3525,2496,2,0.0
6949,2738,2,0.0
5522,34671,2,0.0
5574,7432,2,0.0
3735,5089,2,0.0
2603,4591,2,0.0
6023,121,2,0.0
10027,5629,2,0.0
9528,9776,2,0.0
6455,8671,2,0.0
11869,3525,2,0.0
962,28,2,0.0
9071,10855,2,0.0
655,2997,2,0.0
8444,60253,2,0.0
6455,7338,2,0.0
5845,4339,2,0.0
13641,2222,2,0.0
8316,13080,2,0.0
8756,7094,2,0.0
4456,8848,2,0.0
7502,8618,2,0.0
12204,1273,2,0.0
12910,55,2,0.0
8316,446,2,0.0
2162,8574,2,0.0
8235,7635,2,0.0
613,7785,2,0.0
11472,6451,2,0.0
8511,4365,2,0.0
222,879,2,0.0
7388,1518,2,0.0
1277,2227,2,0.0
9271,10806,2,0.0
11452,1518,2,0.0
5142,13362,2,0.0
4860,9776,2,0.0
9528,7862,2,0.0
9110,7933,2,0.0
1010,446,2,0.0
7436,4030,2,0.0
2058,8253,2,0.0
9626,613,2,0.0
9876,9142,2,0.0
2374,2657,2,0.0
6022,1361,2,0.0
8310,6622,2,0.0
727,11824,2,0.0
11452,57389,2,0.0
6965,1108,2,0.0
54,8782,2,0.0
6965,2366,2,0.0
4860,1224,2,0.0
2929,435,2,0.0
8089,13080,2,0.0
8310,6586,2,0.0
5281,5012,2,0.0
4360,55,2,0.0
4569,7279,2,0.0
4860,9876,2,0.0
5594,8721,2,0.0
6041,6841,2,0.0
716,8235,2,0.0
4613,11603,2,0.0
12565,2735,2,0.0
5210,4739,2,0.0
4722,3286,2,0.0
54,2516,2,0.0
3353,10444,2,0.0
4613,9985,2,0.0
8255,6932,2,0.0
953,8618,2,0.0
4860,8364,2,0.0
8158,1108,2,0.0
5213,6041,2,0.0
504,8167,2,0.0
6980,7436,2,0.0
2718,8089,2,0.0
8235,727,2,0.0
6980,3195,2,1.0
9555,2483,2,0.0
2912,6847,2,0.0
1047,256,2,0.0
11231,8158,2,0.0
7432,9531,2,0.0
2559,4991,2,0.0
2757,5635,2,0.0
4408,5310,2,0.0
2013,10567,2,0.0
3542,5089,2,0.0
54,7279,2,0.0
446,5017,2,0.0
446,8167,2,0.0
4723,4592,2,0.0
7338,10806,2,0.0
60253,28,2,0.0
11003,10567,2,0.0
2132,3002,2,0.0
2374,4991,2,0.0
12105,3441,2,0.0
6626,56733,2,0.0
13080,13362,2,0.0
6980,1184,2,0.0
1851,8618,2,0.0
11452,8484,2,0.0
8444,3242,2,0.0
57018,10573,2,0.0
5711,2227,2,0.0
4897,5017,2,0.0
9876,9071,2,0.0
2299,18,2,0.0
1858,5476,2,0.0
7502,4828,2,0.0
6451,8253,2,0.0
5556,8316,2,0.0
4223,59,2,0.0
11452,7933,2,0.0
6980,9412,2,0.0
4998,34671,2,0.0
2013,9271,2,0.0
6801,13362,2,0.0
1605,2411,2,0.0
4538,10573,2,0.0
2555,7933,2,0.0
4091,12607,2,0.0
1277,8213,2,0.0
6041,5527,2,0.0
12159,3083,2,0.0
7291,10245,2,0.0
3275,11603,2,0.0
11231,11671,2,0.0
11472,12910,2,0.0
6803,8992,2,0.0
3902,2162,2,0.0
10806,5488,2,0.0
10125,446,2,0.0
8848,6949,2,0.0
10198,1765,2,0.0
9546,5089,2,0.0
2646,613,2,0.0
7502,13362,2,0.0
11077,117,2,0.0
1898,8473,2,1.0
121,2718,2,0.0
12732,12204,2,0.0
11059,4722,2,0.0
31,1051,2,0.0
8444,31,2,0.0
11824,13362,2,0.0
2718,4030,2,0.0
546,9528,2,0.0
2912,2144,2,0.0
4208,8782,2,0.0
472,8680,2,0.0
5556,6455,2,0.0
9271,3195,2,0.0
4723,7432,2,0.0
6776,9660,2,0.0
1898,3040,2,0.0
8444,2642,2,0.0
4991,7966,2,0.0
57038,8782,2,0.0
10162,5142,2,0.0
7785,8330,2,0.0
5281,8680,2,0.0
11329,4789,2,0.0
4538,2144,2,0.0
4132,8709,2,0.0
2718,8992,2,0.0
5711,5488,2,0.0
9110,33978,2,0.0
7502,4722,2,0.0
6980,9531,2,0.0
2374,11003,2,0.0
2299,827,2,0.0
827,2901,2,0.0
57038,3902,2,0.0
4790,7026,2,0.0
12105,3353,2,0.0
8444,57277,2,0.0
4219,6714,2,0.0
5711,1181,2,0.0
962,2718,2,0.0
6776,4365,2,0.0
2555,2646,2,0.0
7785,8484,2,0.0
2929,7862,2,0.0
11325,3396,2,0.0
3733,9660,2,0.0
6803,7727,2,0.0
4860,18,2,0.0
57038,8680,2,0.0
2603,12607,2,0.0
8444,4722,2,0.0
3242,8253,2,0.0
3083,1605,2,0.0
4569,4844,2,0.0
4219,121,2,1.0
11442,5122,2,0.0
4723,6022,2,0.0
9271,3242,2,0.0
5527,5574,2,0.0
3184,383,2,0.0
504,613,2,0.0
962,1277,2,0.0
6965,6949,2,0.0
879,765,2,0.0
494,210,2,0.0
8005,1558,2,0.0
12910,8671,2,0.0
12925,58378,2,0.0
3630,4591,2,0.0
1675,10573,2,0.0
222,4991,2,0.0
6803,1184,2,0.0
11472,3184,2,0.0
10125,2642,2,0.0
8235,3083,2,0.0
1675,8167,2,0.0
3238,4538,2,0.0
2738,10567,2,0.0
8307,10444,2,0.0
6624,8364,2,0.0
8473,6451,2,0.0
12565,18,2,0.0
2563,3733,2,0.0
5522,11197,2,0.0
4897,2901,2,0.0
5751,6459,2,0.0
5845,8721,2,0.0
4408,6590,2,0.0
2718,1720,2,0.0
5574,6932,2,0.0
2299,1361,2,0.0
3525,4869,2,0.0
6980,5635,2,0.0
8511,12607,2,0.0
7889,210,2,0.0
12068,494,2,0.0
4613,6624,2,0.0
210,4569,2,0.0
613,1011,2,0.0
12068,2483,2,0.0
1858,6022,2,0.0
1558,1720,2,0.0
10198,3639,2,0.0
2559,4208,2,0.0
57277,2997,2,0.0
1047,11321,2,0.0
8848,8721,2,0.0
7727,7132,2,0.0
4456,2642,2,0.0
3542,28,2,0.0
824,11299,2,0.0
7531,2411,2,0.0
7388,3735,2,0.0
4339,2932,2,0.0
2757,4365,2,0.0
7889,7231,2,0.0
3275,6803,2,0.0
3733,5906,2,0.0
12105,655,2,0.0
12732,2929,2,0.0
6776,18,2,0.0
4030,655,2,0.0
8310,5574,2,0.0
4208,28,2,0.0
3184,3805,2,0.0
10573,1184,2,0.0
2516,7352,2,0.0
5527,121,2,0.0
1558,6893,2,0.0
4030,8574,2,0.0
3353,11329,2,0.0
11059,59,2,0.0
4723,3083,2,0.0
6626,4991,2,0.0
7785,2162,2,0.0
5574,4365,2,0.0
504,472,2,0.0
5556,8364,2,0.0
6776,765,2,0.0
8316,13105,2,0.0
2854,5857,2,0.0
2603,1720,2,0.0
117,13712,2,0.0
2227,8680,2,0.0
31,6932,2,0.0
1010,2496,2,0.0
4456,2854,2,0.0
11325,5845,2,0.0
2555,8812,2,0.0
5594,7279,2,0.0
