0,1,2,3
56947,5012,2,1.0
117,5857,2,1.0
8473,8253,2,1.0
31,9142,2,1.0
9271,56947,2,1.0
7026,5857,2,1.0
6041,56947,2,1.0
12105,5527,2,1.0
2144,4991,2,1.0
11472,56947,2,1.0
2227,7132,2,1.0
3040,8330,2,1.0
34015,4223,2,1.0
9546,3282,2,1.0
4739,5310,2,1.0
8005,9142,2,1.0
5527,31,2,1.0
5736,3282,2,1.0
10855,6714,2,1.0
121,5635,2,1.0
8473,9546,2,1.0
1345,5459,2,1.0
2718,8316,2,1.0
11452,11758,2,0.0
4739,2483,2,0.0
3436,383,2,0.0
4219,11197,2,0.0
2929,1729,2,0.0
7436,2058,2,0.0
1518,5012,2,0.0
6624,6841,2,0.0
7889,12910,2,0.0
3396,1605,2,0.0
811,2657,2,0.0
13781,8253,2,0.0
5751,34747,2,0.0
3040,11059,2,0.0
1720,8253,2,0.0
3063,7436,2,0.0
2912,8574,2,0.0
2496,4030,2,0.0
10162,10567,2,0.0
953,5522,2,0.0
716,4339,2,0.0
962,2162,2,0.0
4869,2881,2,0.0
6893,1605,2,0.0
6841,8167,2,0.0
11231,7132,2,0.0
12925,35328,2,0.0
4208,11003,2,0.0
12925,7432,2,0.0
4445,5488,2,0.0
6893,5629,2,0.0
2144,1010,2,0.0
11325,13641,2,0.0
2496,8089,2,0.0
57277,472,2,0.0
31,2222,2,0.0
4723,4538,2,0.0
5635,5512,2,0.0
59354,8167,2,0.0
5594,7436,2,0.0
4408,3195,2,0.0
546,2932,2,0.0
9626,9142,2,0.0
5213,5736,2,0.0
962,7933,2,0.0
9110,2932,2,0.0
3050,57277,2,0.0
8158,2064,2,0.0
4339,3286,2,0.0
3050,5556,2,0.0
824,8574,2,0.0
2058,18,2,0.0
5213,8330,2,0.0
3242,6622,2,0.0
9440,6980,2,0.0
11869,8721,2,0.0
10027,4208,2,0.0
3083,7132,2,0.0
2646,446,2,0.0
2881,11299,2,0.0
1518,34671,2,0.0
10162,11447,2,0.0
1858,1674,2,0.0
2064,4991,2,0.0
8473,7094,2,0.0
11442,5629,2,0.0
11042,56733,2,0.0
4642,1273,2,0.0
3733,4998,2,0.0
2718,59354,2,0.0
3630,2738,2,0.0
7338,1273,2,0.0
7635,4789,2,0.0
9071,4569,2,0.0
4091,10124,2,0.0
472,5857,2,0.0
953,3441,2,0.0
3353,9776,2,0.0
4132,3326,2,0.0
5629,6451,2,0.0
13641,10339,2,0.0
655,7094,2,0.0
1273,1720,2,0.0
33978,2932,2,0.0
546,6241,2,0.0
4790,9626,2,0.0
5556,4998,2,0.0
2064,8364,2,0.0
6893,11603,2,0.0
8511,11671,2,0.0
3275,11824,2,0.0
12565,2657,2,0.0
6803,13080,2,0.0
5635,5012,2,0.0
8235,1273,2,0.0
494,1729,2,0.0
504,56733,2,0.0
4408,57396,2,0.0
8310,7125,2,0.0
12925,5488,2,0.0
34015,7279,2,0.0
13364,9776,2,0.0
12204,3735,2,0.0
3238,9440,2,0.0
9071,117,2,0.0
3436,34747,2,0.0
1675,7727,2,0.0
2738,10855,2,0.0
10198,11447,2,0.0
13105,3326,2,0.0
5556,5857,2,0.0
11059,10855,2,0.0
3063,3805,2,0.0
6041,3735,2,0.0
8812,256,2,0.0
35297,11671,2,0.0
4020,6241,2,0.0
3353,8167,2,0.0
9985,5857,2,0.0
1011,2058,2,0.0
6847,6451,2,0.0
2854,8167,2,0.0
2555,4844,2,0.0
9626,3542,2,0.0
7727,58302,2,0.0
2646,33978,2,0.0
6776,2162,2,0.0
4132,59,2,0.0
3275,7352,2,0.0
962,5017,2,0.0
7635,2483,2,0.0
8992,7094,2,0.0
