0,1,2,3
7695,5209,0,1.0
1217,5209,0,1.0
4636,5209,0,1.0
10447,5209,0,1.0
2031,5209,0,1.0
3592,5209,0,1.0
12543,5209,0,1.0
5209,12712,0,1.0
5209,6039,0,1.0
2045,5209,0,1.0
1831,3249,0,1.0
5209,6264,0,1.0
530,5209,0,1.0
13378,5209,0,1.0
8087,5209,0,1.0
1892,5209,0,1.0
13097,5209,0,1.0
5209,7534,0,1.0
5209,4201,0,1.0
497,5209,0,1.0
2457,5209,0,1.0
2055,5209,0,1.0
33947,5209,0,1.0
5209,5857,0,1.0
34417,5209,0,1.0
8296,5209,0,1.0
5209,58266,0,1.0
2978,5209,0,1.0
5209,5511,0,1.0
5209,11515,0,1.0
5011,5209,0,1.0
959,5209,0,1.0
1389,5209,0,1.0
5209,4670,0,1.0
56878,5209,0,1.0
3869,5209,0,1.0
5209,166,0,1.0
5209,5031,0,1.0
5209,59460,0,1.0
5440,5209,0,1.0
4311,5209,0,1.0
9436,5209,0,1.0
6277,5209,0,1.0
5209,1129,0,1.0
5209,1294,0,1.0
1225,5209,0,1.0
5209,12440,0,1.0
5209,8882,0,1.0
5209,59144,0,1.0
54,5209,0,1.0
5209,3966,0,1.0
2649,5209,0,1.0
5209,2838,0,1.0
5209,692,0,1.0
900,5209,0,1.0
790,5209,0,1.0
5209,7189,0,1.0
5209,11459,0,1.0
11742,5209,0,1.0
5209,57478,0,1.0
5209,703,0,1.0
3002,5209,0,1.0
5209,3994,0,1.0
5209,5628,0,1.0
5609,5209,0,1.0
5209,12655,0,1.0
10649,5209,0,1.0
1168,5209,0,1.0
5209,2723,0,1.0
5209,35288,0,1.0
182,5209,0,1.0
5209,12276,0,1.0
9266,5209,0,1.0
5209,5495,0,1.0
1186,5209,0,1.0
5209,3927,0,1.0
6088,5209,0,1.0
2678,5209,0,1.0
3672,5209,0,1.0
4164,5209,0,1.0
10913,5209,0,1.0
3614,5209,0,1.0
3692,5209,0,1.0
5209,12770,0,1.0
5983,5209,0,1.0
5209,8269,0,1.0
5885,5209,0,1.0
13613,5209,0,1.0
5209,3931,0,1.0
5209,2772,0,1.0
77519,5209,0,1.0
5209,120,0,1.0
37,5209,0,1.0
12423,5209,0,1.0
3364,5209,0,1.0
381,5209,0,1.0
1333,5209,0,1.0
7519,5209,0,1.0
5209,286,0,1.0
2051,5209,0,1.0
