0,1,2,3
1552,3056,1,1.0
6793,1032,1,1.0
666,1818,1,1.0
554,80,1,1.0
666,3621,1,1.0
4985,3621,1,1.0
1552,1812,1,1.0
7274,11285,1,1.0
4061,11285,1,1.0
802,125,1,1.0
4303,4670,1,1.0
527,1320,1,1.0
4985,4303,1,1.0
4985,772,1,1.0
5720,1181,1,1.0
3621,4061,1,1.0
1034,1170,1,1.0
3240,5012,1,1.0
6998,1320,1,1.0
3056,6609,1,1.0
4098,7274,1,1.0
5720,3056,1,1.0
666,4303,1,1.0
40,3640,1,1.0
56704,5012,1,1.0
2985,5012,1,1.0
802,4339,1,1.0
7132,1812,1,1.0
125,3556,1,1.0
4303,1812,1,1.0
802,666,1,1.0
3556,1181,1,1.0
568,11285,1,1.0
5170,3708,1,1.0
3240,1812,1,1.0
332,3240,1,1.0
3056,3621,1,1.0
782,772,1,1.0
2429,1785,1,0.0
40,7534,1,1.0
4670,7534,1,1.0
3556,772,1,1.0
332,782,1,1.0
385,8771,1,0.0
666,4237,1,1.0
40,782,1,1.0
1831,568,1,1.0
554,5170,1,1.0
2585,4812,1,1.0
3666,4061,1,1.0
666,11285,1,1.0
4098,1818,1,1.0
40,4339,1,1.0
40,2985,1,1.0
3056,1032,1,1.0
6019,3509,1,0.0
2836,6609,1,1.0
4127,3556,1,1.0
125,4303,1,1.0
4061,1032,1,1.0
150,78,1,1.0
40,6793,1,1.0
554,577,1,1.0
4985,1181,1,1.0
1818,4061,1,1.0
6793,6150,1,1.0
11285,7534,1,1.0
7274,3056,1,1.0
6793,772,1,1.0
4303,7534,1,1.0
5720,2836,1,1.0
3240,6800,1,1.0
3240,2836,1,1.0
1441,1785,1,0.0
4670,3708,1,1.0
7274,6609,1,1.0
7274,6150,1,1.0
554,7534,1,1.0
6793,6609,1,1.0
6793,3621,1,1.0
554,1558,1,1.0
666,3056,1,1.0
2585,2936,1,1.0
6793,4303,1,1.0
3666,2985,1,1.0
125,6150,1,1.0
40,3056,1,1.0
2985,7534,1,1.0
4061,6150,1,1.0
125,5012,1,1.0
125,6609,1,1.0
822,1170,1,1.0
2836,56704,1,1.0
1558,2836,1,1.0
8798,12301,1,0.0
