0,1,2,3
207,33978,2,0.0
6776,1212,2,1.0
8484,7534,1,1.0
2014,5495,2,0.0
12925,35328,2,1.0
54,2227,2,1.0
11824,2162,2,0.0
6041,504,2,1.0
2013,6624,2,1.0
5209,60280,0,1.0
9685,5209,0,1.0
4856,5209,0,1.0
9264,2423,1,0.0
2718,3525,2,1.0
1034,1298,1,1.0
3525,12607,2,1.0
5209,2363,0,1.0
446,7279,2,1.0
2836,4061,1,1.0
1558,7132,1,1.0
5012,655,2,1.0
10741,5209,0,1.0
554,1558,1,1.0
3063,3792,2,1.0
802,125,1,1.0
6019,1066,1,1.0
12204,655,2,1.0
2912,35297,2,0.0
1034,3772,1,1.0
5574,11824,2,0.0
332,4237,1,1.0
802,3708,1,1.0
418,866,1,1.0
6859,56704,1,1.0
1980,587,1,1.0
11691,3525,2,1.0
6455,446,2,1.0
5790,3639,2,0.0
5170,4985,1,1.0
802,7132,1,1.0
7775,10512,1,0.0
5170,3640,1,1.0
5556,11325,2,0.0
1720,4030,2,0.0
8307,504,2,1.0
5751,9531,2,1.0
4685,655,2,1.0
5209,5704,0,1.0
3240,568,1,1.0
8484,2985,1,1.0
5209,2142,0,1.0
435,944,2,1.0
5790,3040,2,0.0
3083,8089,2,1.0
4897,2738,2,1.0
3792,11329,2,1.0
5751,7125,2,1.0
5459,504,2,1.0
5209,1931,0,1.0
5209,988,0,1.0
8444,8235,2,0.0
54,1224,2,1.0
6628,5209,0,1.0
3063,6568,2,0.0
1050,6568,2,0.0
3447,5209,0,1.0
8167,6568,2,0.0
4792,5209,0,1.0
59,7279,2,1.0
3792,35328,2,1.0
6277,5209,0,1.0
4208,655,2,1.0
5845,446,2,1.0
4127,7534,1,1.0
8307,1277,2,1.0
5594,8089,2,1.0
2543,609,1,0.0
11042,6932,2,0.0
666,4303,1,1.0
613,8017,2,0.0
5906,7279,2,1.0
3040,2932,2,1.0
9602,1108,2,0.0
5209,13578,0,1.0
4020,8089,2,1.0
2718,2418,2,1.0
3102,7635,2,0.0
601,3244,1,1.0
7511,13712,2,1.0
5736,7224,2,1.0
5209,4368,0,1.0
446,1051,2,1.0
7532,3069,2,0.0
5790,3217,2,0.0
8310,655,2,1.0
6459,33978,2,0.0
9529,5209,0,1.0
56624,8782,2,1.0
2227,2162,2,0.0
9555,905,2,0.0
4985,56704,1,1.0
7224,811,2,1.0
4812,10745,1,1.0
504,13364,2,1.0
9602,11329,2,0.0
4098,3056,1,1.0
6586,446,2,1.0
5213,504,2,1.0
4061,7132,1,1.0
3050,655,2,1.0
202,207,2,0.0
2374,3792,2,1.0
7231,57277,2,1.0
4642,5635,2,1.0
3733,4569,2,1.0
8638,5577,2,0.0
7532,3396,2,0.0
1552,3621,1,1.0
446,2881,2,1.0
3716,446,2,1.0
5209,619,0,1.0
3083,7132,2,1.0
9110,655,2,1.0
177,1785,1,0.0
5209,3723,0,1.0
13641,59,2,1.0
332,1032,1,1.0
57277,446,2,1.0
1361,7279,2,1.0
5209,12165,0,1.0
5209,6850,0,1.0
2912,1319,2,0.0
40,4098,1,1.0
12068,8235,2,0.0
4091,3525,2,1.0
4127,11285,1,1.0
9440,11603,2,0.0
802,78,1,1.0
40,5012,1,1.0
655,6622,2,1.0
3083,2418,2,1.0
9110,2181,2,0.0
6859,3056,1,1.0
3666,1181,1,1.0
6322,5209,0,1.0
35328,2418,2,1.0
3640,1818,1,1.0
12379,2299,2,0.0
13641,9701,2,1.0
7274,5012,1,1.0
6624,2718,2,1.0
2718,446,2,1.0
4127,4098,1,1.0
6241,13712,2,1.0
613,343,2,0.0
5596,5522,2,0.0
8253,8398,2,0.0
9110,10573,2,0.0
6841,655,2,1.0
31,885,2,1.0
9071,8089,2,1.0
3552,5209,0,1.0
57396,4030,2,0.0
4969,5209,0,1.0
8235,3542,2,1.0
3282,13712,2,1.0
9110,9876,2,0.0
3440,5209,0,1.0
5209,373,0,1.0
7913,5209,0,1.0
57396,655,2,1.0
12732,13362,2,0.0
5209,59021,0,1.0
5720,782,1,1.0
4752,5209,0,1.0
1050,10198,2,0.0
5209,3960,0,1.0
7517,5209,0,1.0
4127,554,1,1.0
40,3640,1,1.0
2714,613,2,0.0
8638,1224,2,1.0
530,504,2,1.0
5209,145,0,1.0
11493,35328,2,1.0
6982,11824,2,0.0
34014,5209,0,1.0
3982,5209,0,1.0
504,435,2,1.0
11603,7279,2,1.0
2735,35328,2,1.0
4642,4806,2,1.0
4208,11077,2,1.0
2912,11447,2,0.0
6626,2932,2,0.0
6859,6609,1,1.0
5594,446,2,1.0
5209,7199,0,1.0
3525,6590,2,1.0
2912,12607,2,0.0
6022,9705,2,0.0
3195,8089,2,1.0
1212,34671,2,1.0
3216,4806,2,1.0
8235,13781,2,0.0
1047,3217,2,0.0
2854,31,2,0.0
