cell_name,nodea_name,nodeb_name,nodea_primekgid,nodeb_primekgid,label,cell_id
A375,CIDEA,NAE1,6403,5209,1.0,0
A375,SMIM7,NAE1,60355,5209,1.0,0
A375,CNTD1,NAE1,61303,5209,1.0,0
A375,IL24,NAE1,9437,5209,1.0,0
A375,DPYS,NAE1,11595,5209,1.0,0
A375,ESS2,NAE1,5645,5209,1.0,0
A375,BTK,NAE1,337,5209,1.0,0
A375,ENDOG,NAE1,8121,5209,1.0,0
A375,CYFIP2,NAE1,6520,5209,1.0,0
A375,CARD10,NAE1,1792,5209,1.0,0
A375,CAND1,NAE1,8803,5209,1.0,0
A375,DFFB,NAE1,4843,5209,1.0,0
A375,DAPK1,NAE1,1286,5209,1.0,0
A375,LHX2,NAE1,8160,5209,1.0,0
A375,CDADC1,NAE1,57812,5209,1.0,0
A375,ANK1,NAE1,4992,5209,1.0,0
A375,ALPK3,NAE1,12585,5209,1.0,0
A375,EBAG9,NAE1,7909,5209,1.0,0
A375,DTL,NAE1,2852,5209,1.0,0
A375,MCL1,NAE1,400,5209,1.0,0
A375,BNIP3L,NAE1,7262,5209,1.0,0
A375,MPHOSPH9,NAE1,4692,5209,1.0,0
A375,CASP9,NAE1,5349,5209,1.0,0
A375,MORF4L2,NAE1,4792,5209,1.0,0
A375,FBXL18,NAE1,8507,5209,1.0,0
A375,CNOT11,NAE1,6580,5209,1.0,0
A375,CCDC190,NAE1,77519,5209,1.0,0
A375,CD28,NAE1,1609,5209,1.0,0
A375,BAG3,NAE1,1887,5209,1.0,0
A375,CLU,NAE1,1127,5209,1.0,0
A375,ATMIN,NAE1,10038,5209,1.0,0
A375,CENPI,NAE1,6760,5209,1.0,0
A375,DIABLO,NAE1,5106,5209,1.0,0
A375,CHAF1B,NAE1,3351,5209,1.0,0
A375,FAM111B,NAE1,34014,5209,1.0,0
A375,MAGEH1,NAE1,5696,5209,1.0,0
A375,CUL5,NAE1,2317,5209,1.0,0
A375,DIDO1,NAE1,1689,5209,1.0,0
A375,AKT1,NAE1,1057,5209,1.0,0
A375,ERP44,NAE1,7429,5209,1.0,0
A375,CDK3,NAE1,4001,5209,1.0,0
A375,BRD4,NAE1,9008,5209,1.0,0
A375,CNTN5,NAE1,11921,5209,1.0,0
A375,ITGA10,NAE1,57973,5209,1.0,0
A375,BCL2L10,NAE1,9633,5209,1.0,0
A375,IPMK,NAE1,57224,5209,1.0,0
A375,MCM5,NAE1,6199,5209,1.0,0
A375,MPO,NAE1,4818,5209,1.0,0
A375,CASP8AP2,NAE1,7519,5209,1.0,0
A375,DAB1,NAE1,2678,5209,1.0,0
A375,CLTA,NAE1,1110,5209,1.0,0
A375,CD27,NAE1,3558,5209,1.0,0
