cell_name,protein,protein_name,primekg_index,cell_id,ncbi_id
A375,0,DPF3,3110,0,8110.0
A375,1,ZNF706,3620,0,51123.0
A375,7,KLRC1,7053,0,3821.0
A375,11,HSP90B1,3996,0,7184.0
A375,12,CKS1B,1074,0,1163.0
A375,16,SLIRP,8928,0,81892.0
A375,21,EIF3M,6251,0,10480.0
A375,24,NHLRC2,35397,0,374354.0
A375,28,RPS21,4967,0,6227.0
A375,31,PTGDS,7773,0,5730.0
A375,36,NF1,5794,0,4763.0
A375,42,CAPG,10430,0,822.0
A375,43,KPNA6,2683,0,23633.0
A375,50,FXYD6,4474,0,53826.0
A375,54,HSCB,7388,0,150274.0
A375,55,NOTUM,57058,0,147111.0
A375,60,CACNG6,59524,0,59285.0
A375,62,FLNA,3035,0,2316.0
A375,63,WDR33,10088,0,55339.0
A375,72,NUMA1,3677,0,4926.0
A375,73,PCM1,1893,0,5108.0
A375,76,TMX4,5475,0,56255.0
A375,77,PLA2G6,1124,0,8398.0
A375,79,FBXO4,10883,0,26272.0
A375,80,DIS3,260,0,22894.0
A375,81,U2SURP,9520,0,23350.0
A375,85,PABPN1,9161,0,8106.0
A375,88,CATSPERB,60672,0,79820.0
A375,89,PKDREJ,7776,0,10343.0
A375,93,WDR83,4775,0,84292.0
A375,94,CASR,574,0,846.0
A375,96,PSMD1,4126,0,5707.0
A375,97,RIOK3,10922,0,8780.0
A375,98,DNAJC8,9622,0,22826.0
A375,106,TAPBP,11910,0,6892.0
A375,107,IDH3A,3185,0,3419.0
A375,109,FMNL3,13352,0,91010.0
A375,117,LILRB4,11982,0,11006.0
A375,122,RRP1,2420,0,8568.0
A375,123,GADD45G,5237,0,10912.0
A375,128,MSL1,57345,0,339287.0
A375,129,PDAP1,13007,0,11333.0
A375,131,GRIA2,1246,0,2891.0
A375,134,LSM11,12423,0,134353.0
A375,138,COMP,9967,0,1311.0
A375,139,MRPL18,613,0,29074.0
A375,143,SLC25A31,7406,0,83447.0
A375,144,SSR1,3358,0,6745.0
A375,145,SHC2,5154,0,25759.0
A375,146,WBP11,3629,0,51729.0
A375,147,BTF3,7531,0,689.0
A375,148,NDUFA6,1077,0,4700.0
A375,149,RIN1,5658,0,9610.0
A375,150,AGA,3321,0,175.0
A375,153,BUB1B,1648,0,701.0
A375,154,WASF2,3028,0,10163.0
A375,156,NAPA,7246,0,8775.0
A375,168,VIM,1625,0,7431.0
A375,169,SIK1,13531,0,150094.0
A375,171,GMNN,1974,0,51053.0
A375,175,EIF5,8496,0,1983.0
A375,176,RBM14,1791,0,10432.0
A375,186,CPSF6,6758,0,11052.0
A375,187,MND1,10708,0,84057.0
A375,193,ACTC1,1666,0,70.0
A375,198,CCNB3,34446,0,85417.0
A375,202,EIF2S3,12020,0,1968.0
A375,208,ALPL,11130,0,249.0
A375,211,LAMC2,9184,0,3918.0
A375,213,CPSF7,9230,0,79869.0
A375,216,THY1,3096,0,7070.0
A375,218,PNPLA2,12917,0,57104.0
A375,221,PFDN2,4442,0,5202.0
A375,224,LTBR,4074,0,4055.0
A375,226,HTR1E,3447,0,3354.0
A375,227,GLDC,11270,0,2731.0
A375,228,MRRF,5127,0,92399.0
A375,230,GAPDH,527,0,2597.0
A375,231,MRPL2,3824,0,51069.0
A375,232,VPS36,7131,0,51028.0
A375,233,VAT1,8655,0,10493.0
A375,234,CSTF3,5736,0,1479.0
A375,237,NKAIN1,34041,0,79570.0
A375,242,TNNI3,8821,0,7137.0
A375,244,SRGAP3,2203,0,9901.0
A375,245,DDX56,9421,0,54606.0
A375,248,EFNB2,961,0,1948.0
A375,249,HNRNPU,1643,0,3192.0
A375,252,BUD31,5288,0,8896.0
A375,253,PIAS4,4235,0,51588.0
A375,254,RIOK2,13023,0,55781.0
A375,255,RNASE2,13303,0,6036.0
A375,257,COG8,10867,0,84342.0
A375,266,BLOC1S3,33853,0,388552.0
A375,267,COX20,10739,0,116228.0
A375,268,LSM2,5323,0,57819.0
A375,270,SOD1,361,0,6647.0
A375,276,SH3PXD2B,22011,0,285590.0
A375,277,LINGO1,5355,0,84894.0
A375,279,HMGCLL1,4247,0,54511.0
A375,280,PREX1,13186,0,57580.0
A375,281,F2R,3489,0,2149.0
A375,283,INO80D,8107,0,54891.0
A375,284,SOS2,7249,0,6655.0
A375,288,GAA,2465,0,2548.0
A375,295,ARHGEF4,12008,0,50649.0
A375,297,PES1,1577,0,23481.0
A375,298,DDX41,3130,0,51428.0
A375,301,GADL1,34365,0,339896.0
A375,302,DYNLRB1,10224,0,83658.0
A375,308,BLM,4288,0,641.0
A375,310,GSTM1,5176,0,2944.0
A375,313,ARHGEF10L,34420,0,55160.0
A375,316,DPP7,1597,0,29952.0
A375,320,KHSRP,6670,0,8570.0
A375,327,PIP5K1B,8119,0,8395.0
A375,329,SCP2,5326,0,6342.0
A375,330,MLNR,7304,0,2862.0
A375,338,KLHL31,60281,0,401265.0
A375,339,SCN2A,9441,0,6326.0
A375,340,BNIPL,10483,0,149428.0
A375,341,MICU1,3553,0,10367.0
A375,345,GSTA3,59318,0,2940.0
A375,347,RARA,740,0,5914.0
A375,348,NDUFV1,2938,0,4723.0
A375,355,TIMM8A,7814,0,1678.0
A375,360,TIPRL,57262,0,261726.0
A375,362,TTC31,9407,0,64427.0
A375,363,TCTN2,2205,0,79867.0
A375,364,ATP2A2,7123,0,488.0
A375,366,MRPL44,7867,0,65080.0
A375,369,RTKN,8280,0,6242.0
A375,374,GSTA1,5215,0,2938.0
A375,377,RAN,580,0,5901.0
A375,379,GSTO1,9200,0,9446.0
A375,382,NAA38,7079,0,84316.0
A375,388,HLA-DPB1,8432,0,3115.0
A375,390,DNAJB13,35200,0,374407.0
A375,393,MRPS31,1141,0,10240.0
A375,396,YEATS2,3585,0,55689.0
A375,397,TLK2,7912,0,11011.0
A375,398,SIRT7,12619,0,51547.0
A375,399,RAC2,5465,0,5880.0
A375,400,PSMD2,175,0,5708.0
A375,402,FMNL2,11576,0,114793.0
A375,403,EIF3E,1778,0,3646.0
A375,406,SRC,1170,0,6714.0
A375,408,EIF5A,6297,0,1984.0
A375,409,C1QB,2507,0,713.0
A375,411,PCGF6,12991,0,84108.0
A375,413,DDIT4L,899,0,115265.0
A375,421,SNRPF,234,0,6636.0
A375,422,LIMD1,6025,0,8994.0
A375,426,RRP1B,9669,0,23076.0
A375,429,CCT4,2441,0,10575.0
A375,430,PDIA6,3551,0,10130.0
A375,434,MPHOSPH10,11615,0,10199.0
A375,440,ARHGDIB,5936,0,397.0
A375,446,CDON,8605,0,50937.0
A375,453,NOP16,9881,0,51491.0
A375,461,TRIM22,3998,0,10346.0
A375,462,ARHGEF40,11847,0,55701.0
A375,463,RAB7A,3128,0,7879.0
A375,464,PDHA1,2448,0,5160.0
A375,466,RRS1,2962,0,23212.0
A375,467,NAA50,10589,0,80218.0
A375,469,MKNK2,4052,0,2872.0
A375,472,ASMT,33900,0,438.0
