0,1,2,3
866,568,0,1.0
418,866,0,1.0
1831,568,0,1.0
1831,3249,0,1.0
568,3249,0,1.0
80,3249,0,1.0
80,1831,0,1.0
4323,536,0,1.0
4323,400,0,1.0
2043,568,0,1.0
4323,866,0,1.0
400,568,0,1.0
80,568,0,1.0
554,568,0,1.0
4323,3249,0,1.0
4323,568,0,1.0
1558,568,0,1.0
866,3249,0,1.0
80,866,0,1.0
866,400,0,1.0
2043,3249,0,1.0
2043,1558,0,1.0
11337,34691,0,0.0
7576,4538,0,0.0
3612,9488,0,0.0
400,189,0,0.0
2043,400,0,0.0
4323,2043,0,0.0
9488,1437,0,0.0
2043,1831,0,0.0
9714,13628,0,0.0
6966,568,0,0.0
418,568,0,0.0
866,438,0,0.0
1151,3972,0,0.0
108,1558,0,0.0
2043,438,0,0.0
395,256,0,0.0
2836,1774,0,0.0
9633,2043,0,0.0
10145,34445,0,0.0
869,12803,0,0.0
5103,9488,0,0.0
6693,256,0,0.0
35040,1993,0,0.0
4318,4132,0,0.0
2043,866,0,0.0
1356,12976,0,0.0
5153,256,0,0.0
11337,492,0,0.0
7246,9902,0,0.0
568,1314,0,0.0
3083,11325,0,0.0
4272,12619,0,0.0
1597,9488,0,0.0
2194,4792,0,0.0
35040,2854,0,0.0
2836,2345,0,0.0
11337,4292,0,0.0
1558,78,0,0.0
8380,6773,0,0.0
1342,9981,0,0.0
2340,2654,0,0.0
7204,9323,0,0.0
9488,9001,0,0.0
9488,34691,0,0.0
2646,8039,0,0.0
1220,12341,0,0.0
35040,6097,0,0.0
9488,2951,0,0.0
264,1785,0,0.0
1674,10198,0,0.0
108,189,0,0.0
10838,10922,0,0.0
3428,11788,0,0.0
2228,10708,0,0.0
5631,568,0,0.0
11049,2915,0,0.0
3612,10708,0,0.0
2228,1356,0,0.0
1887,5536,0,0.0
3380,1558,0,0.0
80,108,0,0.0
5809,866,0,0.0
418,25,0,0.0
554,5809,0,0.0
5766,9829,0,0.0
10164,8766,0,0.0
11337,5855,0,0.0
67,1785,0,0.0
2836,1314,0,0.0
3871,3119,0,0.0
80,1558,0,0.0
3553,58447,0,0.0
2429,5631,0,0.0
2305,973,0,0.0
11337,7427,0,0.0
601,125,0,0.0
1470,12175,0,0.0
3509,2951,0,0.0
2429,5809,0,0.0
3380,80,0,0.0
1558,177,0,0.0
87,665,0,0.0
418,400,0,0.0
11337,2423,0,0.0
4599,1836,0,0.0
554,1785,0,0.0
8987,11576,0,0.0
536,1558,0,0.0
2083,8987,0,0.0
3380,1831,0,0.0
80,438,0,0.0
9633,80,0,0.0
6966,5809,0,0.0
230,5466,0,0.0
35040,3986,0,0.0
11337,1597,0,0.0
2723,2336,0,0.0
11337,8204,0,0.0
383,10156,0,0.0
5488,4984,0,0.0
965,1605,0,0.0
3380,108,0,0.0
1454,11733,0,0.0
12159,1224,0,0.0
35040,2423,0,0.0
31,4578,0,0.0
11337,5392,0,0.0
2785,9344,0,0.0
3380,568,0,0.0
108,1831,0,0.0
601,337,1,1.0
601,2037,1,1.0
2290,337,1,1.0
2290,822,1,1.0
2290,3314,1,1.0
2290,2037,1,1.0
2290,34008,1,1.0
1057,2037,1,1.0
1057,822,1,1.0
1057,1600,1,1.0
390,2037,1,1.0
390,337,1,1.0
390,3314,1,1.0
2037,6019,1,1.0
2037,3666,1,1.0
2037,1980,1,1.0
2037,337,1,1.0
2037,116,1,1.0
2037,2543,1,1.0
2037,6966,1,1.0
2037,7134,1,1.0
2037,125,1,1.0
2037,822,1,1.0
2037,1441,1,1.0
2037,1559,1,1.0
2037,4769,1,1.0
2037,2043,1,1.0
2037,1066,1,1.0
2037,9264,1,1.0
2037,2108,1,1.0
2037,5202,1,1.0
2037,3314,1,1.0
2037,2423,1,1.0
2037,3246,1,1.0
2037,5794,1,1.0
2037,10508,1,1.0
2037,3772,1,1.0
2037,43,1,1.0
2037,177,1,1.0
2037,609,1,1.0
2037,3244,1,1.0
2037,3438,1,1.0
2037,298,1,1.0
2037,2005,1,1.0
2037,749,1,1.0
2037,34008,1,1.0
2037,236,1,1.0
2037,1097,1,1.0
2037,3249,1,1.0
6019,822,1,1.0
6019,3314,1,1.0
34008,3666,1,1.0
34008,1980,1,1.0
34008,80,1,1.0
34008,9008,1,1.0
34008,2543,1,1.0
34008,1034,1,1.0
34008,236,1,1.0
34008,108,1,1.0
34008,6966,1,1.0
34008,7134,1,1.0
34008,1298,1,1.0
34008,150,1,1.0
34008,1618,1,1.0
34008,67,1,1.0
34008,2423,1,1.0
34008,1641,1,1.0
34008,43,1,1.0
34008,609,1,1.0
34008,3438,1,1.0
34008,492,1,1.0
34008,2198,1,1.0
34008,298,1,1.0
34008,1785,1,1.0
34008,3314,1,1.0
34008,3246,1,1.0
34008,5794,1,1.0
3666,822,1,1.0
2429,1558,1,1.0
1980,822,1,1.0
1980,3314,1,1.0
80,337,1,1.0
80,1558,1,1.0
9008,822,1,1.0
9008,3314,1,1.0
337,108,1,1.0
337,125,1,1.0
337,5414,1,1.0
337,1559,1,1.0
337,2043,1,1.0
337,1066,1,1.0
337,1618,1,1.0
337,3314,1,1.0
337,2423,1,1.0
337,568,1,1.0
337,10508,1,1.0
337,43,1,1.0
337,609,1,1.0
337,3244,1,1.0
337,617,1,1.0
337,1600,1,1.0
337,492,1,1.0
337,3249,1,1.0
337,5794,1,1.0
2543,3314,1,1.0
802,125,1,1.0
802,822,1,1.0
802,2043,1,1.0
802,3314,1,1.0
802,10508,1,1.0
802,78,1,1.0
1034,3314,1,1.0
1034,1600,1,1.0
1034,822,1,1.0
1034,492,1,1.0
2104,1600,1,1.0
236,1831,1,1.0
236,108,1,1.0
236,3244,1,1.0
108,3314,1,1.0
6966,1558,1,1.0
125,822,1,1.0
125,3509,1,1.0
822,1298,1,1.0
822,1441,1,1.0
822,2043,1,1.0
822,9264,1,1.0
822,2108,1,1.0
822,5202,1,1.0
822,3314,1,1.0
822,2423,1,1.0
822,5794,1,1.0
822,10508,1,1.0
822,3772,1,1.0
822,577,1,1.0
822,609,1,1.0
822,3509,1,1.0
822,5414,1,1.0
822,4769,1,1.0
822,617,1,1.0
150,492,1,1.0
1441,3314,1,1.0
1441,1558,1,1.0
5414,3509,1,1.0
5414,609,1,1.0
1559,3314,1,1.0
1559,1558,1,1.0
1097,1558,1,1.0
2043,78,1,1.0
9264,3314,1,1.0
9264,1600,1,1.0
2108,1600,1,1.0
3314,67,1,1.0
3314,2423,1,1.0
3314,5794,1,1.0
3314,3438,1,1.0
3314,6357,1,1.0
3314,492,1,1.0
3314,2005,1,1.0
3314,78,1,1.0
3246,1600,1,1.0
1558,43,1,1.0
1558,1016,1,1.0
1558,3244,1,1.0
1558,617,1,1.0
1558,1170,1,1.0
1558,78,1,1.0
1558,1641,1,1.0
5794,1016,1,1.0
10508,1016,1,1.0
10508,1600,1,1.0
1016,1600,1,1.0
1016,2198,1,1.0
1016,3509,1,1.0
1016,3249,1,1.0
609,492,1,1.0
1600,78,1,1.0
492,749,1,1.0
492,78,1,1.0
2104,236,1,0.0
520,4891,1,0.0
3666,116,1,0.0
2290,3249,1,0.0
6705,4599,1,0.0
5976,3872,1,0.0
3396,692,1,0.0
1706,8248,1,0.0
2131,699,1,0.0
374,1705,1,0.0
2131,1236,1,0.0
2043,866,1,0.0
1057,3772,1,0.0
1070,10124,1,0.0
1057,125,1,0.0
11412,5329,1,0.0
1236,5186,1,0.0
390,3509,1,0.0
10648,4714,1,0.0
7281,8771,1,0.0
9420,8248,1,0.0
5757,3311,1,0.0
822,177,1,0.0
506,8201,1,0.0
2712,2444,1,0.0
874,57962,1,0.0
3395,6466,1,0.0
10186,1929,1,0.0
1236,699,1,0.0
822,3246,1,0.0
3998,3483,1,0.0
390,802,1,0.0
7470,6889,1,0.0
11096,1613,1,0.0
3380,4323,1,0.0
750,1170,1,0.0
2695,59212,1,0.0
150,441,1,0.0
1674,10198,1,0.0
9983,10512,1,0.0
2043,189,1,0.0
80,2104,1,0.0
7457,9983,1,0.0
2037,2429,1,0.0
601,9264,1,0.0
44,2494,1,0.0
782,3317,1,0.0
822,1558,1,0.0
56490,801,1,0.0
1469,3872,1,0.0
6889,1192,1,0.0
59212,35219,1,0.0
6705,5983,1,0.0
9983,2448,1,0.0
6665,2415,1,0.0
80,10508,1,0.0
1540,10381,1,0.0
12301,8771,1,0.0
2131,5186,1,0.0
502,5930,1,0.0
2843,9983,1,0.0
1066,3244,1,0.0
2037,802,1,0.0
866,568,1,0.0
9264,34798,1,0.0
80,1016,1,0.0
80,1618,1,0.0
6193,4447,1,0.0
874,11096,1,0.0
3380,3249,1,0.0
59452,10167,1,0.0
9983,9724,1,0.0
337,236,1,0.0
6933,10745,1,0.0
58065,13264,1,0.0
1672,35219,1,0.0
58065,4018,1,0.0
33900,8157,1,0.0
12245,11377,1,0.0
9983,12301,1,0.0
874,10167,1,0.0
11096,10167,1,0.0
1899,6933,1,0.0
566,2947,1,0.0
1066,1016,1,0.0
80,2543,1,0.0
3380,5631,1,0.0
3153,9617,1,0.0
9264,1641,1,0.0
5329,3960,1,0.0
6630,11377,1,0.0
80,802,1,0.0
10244,9194,1,0.0
1057,577,1,0.0
6933,10383,1,0.0
2043,2836,1,0.0
9370,7803,1,0.0
236,10508,1,0.0
67,5683,1,0.0
6998,1320,1,0.0
390,177,1,0.0
10648,4612,1,0.0
264,956,1,0.0
116,7134,1,0.0
10222,2331,1,0.0
601,609,1,0.0
80,9008,1,0.0
125,1600,1,0.0
4018,13264,1,0.0
2120,6558,1,0.0
13303,10258,1,0.0
520,5758,1,0.0
3380,568,1,0.0
80,43,1,0.0
2774,7143,1,0.0
4812,6784,1,0.0
1057,400,1,0.0
80,116,1,0.0
2985,3242,1,0.0
1070,59728,1,0.0
390,822,1,0.0
12190,7819,1,0.0
802,5414,1,0.0
2585,8395,1,0.0
1618,3509,1,0.0
2836,5855,1,0.0
116,5414,1,0.0
8798,8771,1,0.0
2043,1558,1,0.0
80,577,1,0.0
10280,10522,1,0.0
125,3244,1,0.0
822,6357,1,0.0
874,1613,1,0.0
390,1641,1,0.0
5131,250,1,0.0
390,3244,1,0.0
9983,6998,1,0.0
10745,12301,1,0.0
1066,6357,1,0.0
6348,57157,1,0.0
2043,438,1,0.0
1540,1320,1,0.0
4623,12680,1,0.0
696,6442,1,0.0
6348,1672,1,0.0
390,67,1,0.0
6933,4812,1,0.0
60251,56573,1,0.0
6581,57157,1,0.0
2429,1618,1,0.0
3392,902,1,0.0
125,1170,1,0.0
5202,43,1,0.0
3915,12598,1,0.0
12836,56592,1,0.0
12245,6630,1,0.0
2104,1441,1,0.0
9420,1706,1,0.0
527,2843,1,0.0
2248,9570,1,0.0
2104,6966,1,0.0
1558,568,1,0.0
10524,8395,1,0.0
5131,59724,1,0.0
5092,1705,1,0.0
2423,577,1,0.0
6998,7621,1,0.0
1034,2005,1,0.0
116,150,1,0.0
236,3246,1,0.0
125,617,1,0.0
1980,1034,1,0.0
7328,1556,1,0.0
13459,4769,1,0.0
67,1170,1,0.0
80,1034,1,0.0
1057,3246,1,0.0
8410,11136,1,0.0
9264,5794,1,0.0
1057,492,1,0.0
2108,617,1,0.0
822,568,1,0.0
11979,1929,1,0.0
5202,609,1,0.0
116,108,1,0.0
1980,43,1,0.0
894,11589,1,0.0
8845,59724,1,0.0
6019,3509,1,0.0
4295,56573,1,0.0
527,4173,1,0.0
7618,9169,1,0.0
1980,1831,1,0.0
601,4769,1,0.0
3380,1558,1,0.0
601,3364,1,0.0
2108,78,1,0.0
1899,11589,1,0.0
822,3249,1,0.0
4060,4295,1,0.0
116,4769,1,0.0
587,851,1,0.0
4060,56573,1,0.0
2043,1831,1,0.0
6705,1836,1,0.0
1872,1437,1,0.0
536,2043,1,0.0
5867,59452,1,0.0
390,3249,1,0.0
13377,1613,1,0.0
8395,6784,1,0.0
802,6357,1,0.0
2104,3246,1,0.0
1899,3434,1,0.0
1034,150,1,0.0
1066,5794,1,0.0
332,492,1,0.0
7588,8798,1,0.0
536,1831,1,0.0
2843,57873,1,0.0
11096,13377,1,0.0
6966,2043,1,0.0
4261,10745,1,0.0
2936,7829,1,0.0
1818,902,1,0.0
4295,1929,1,0.0
6998,3539,1,0.0
1034,5794,1,0.0
1298,577,1,0.0
2104,1298,1,0.0
236,125,1,0.0
2104,125,1,0.0
8798,57873,1,0.0
2426,10296,1,0.0
3380,438,1,0.0
1980,1618,1,0.0
7073,13306,1,0.0
390,568,1,0.0
80,418,1,0.0
10838,10922,1,0.0
5202,568,1,0.0
601,43,1,0.0
10383,5017,1,0.0
80,236,1,0.0
116,1097,1,0.0
